embedding_set,group_id,n_embeddings,median_within_group_abs_spearman,top_trait,top_trait_category,top_trait_rho,top_trait_p,top_trait_n,top_field_trait,top_field_trait_category,top_field_trait_rho,top_field_trait_p,top_field_trait_n,example_embeddings
sam3,109,2,0.6130473423605258,NE2025_image__human_score,disease_severity,0.4042728971880076,6.434028766666956e-25,598,NE2025__seed_red_intensity,seed_color,-0.3326213442182421,2.037314438823529e-09,309,embedding_mean_87;embedding_mean_594
sam3,110,2,0.2667669234844807,NE2025_image__human_score,disease_severity,0.49272353373088035,6.730931756077089e-38,598,NE2025__seed_mass_g,yield,-0.21173191086742008,1.768984198695287e-10,890,embedding_mean_476;embedding_mean_548
sam3,111,2,0.3941803699228465,NE2025_image__percentUnhealthy,disease_severity,-0.2749714333797019,3.9266043741285625e-18,961,MI2021__single_plant_leaf_fresh_weight_g,biomass,0.15689263108503992,0.0027975064536551056,361,embedding_mean_152;embedding_mean_421
sam3,3,1,,NE2025_image__log_leaf_pixels,image_leaf_size,-0.20564184324518547,1.258164727020397e-10,960,MI2020__panicle_length_cm,panicle,0.18131054557282122,0.0005664869580167952,358,embedding_mean_491
sam3,11,1,,NE2025_image__leaf_pixels,image_leaf_size,0.34534465683920534,2.8247366310209967e-28,960,NE2025__seed_green_intensity,seed_color,0.21285156693017362,0.00016343571863245665,309,embedding_mean_245
sam3,14,1,,NE2025_image__percentUnhealthy,disease_severity,0.5235704513328068,9.412690407064126e-69,961,NE2025__seed_mass_g,yield,-0.3779466122408548,1.3364817476076078e-31,890,embedding_mean_144
sam3,15,1,,NE2025_image__percentUnhealthy,disease_severity,-0.3443533286518724,3.8548091954032257e-28,961,AL2022__days_to_flower,phenology,0.2969720394734768,9.629230090689666e-09,359,embedding_mean_851
sam3,19,1,,NE2025_image__leaf_pixels,image_leaf_size,-0.7662049947159583,3.398184754380786e-186,960,NE2020__leaf_width_cm,architecture,-0.44822392770479796,4.517858742489551e-17,317,embedding_std_925
sam3,32,1,,NE2025_image__percentUnhealthy,disease_severity,-0.6309847212071056,7.54582414319937e-108,961,AL2022__days_to_flower,phenology,0.4118985929912092,3.9077421870196756e-16,359,embedding_mean_657
sam3,34,1,,NE2025_image__leaf_pixels,image_leaf_size,-0.29159947634374606,2.853933858534728e-20,960,NE2025__seed_red_intensity,seed_color,-0.23494846896720153,3.0217364757177627e-05,309,embedding_std_622
sam3,36,1,,NE2020__stem_diameter_upper_mm,architecture,0.2649483482421226,1.781095130873186e-06,316,NE2020__stem_diameter_upper_mm,architecture,0.2649483482421226,1.781095130873186e-06,316,embedding_mean_440
sam3,37,1,,MI2021__total_plot_fresh_weight_g,biomass,-0.15284279849298799,0.003555501501409191,362,MI2021__total_plot_fresh_weight_g,biomass,-0.15284279849298799,0.003555501501409191,362,embedding_std_906
sam3,38,1,,NE2021__rachis_diameter_lower_mm,panicle,0.2004872208503392,0.00038259032197129677,310,NE2021__rachis_diameter_lower_mm,panicle,0.2004872208503392,0.00038259032197129677,310,embedding_mean_684
sam3,42,1,,NE2025_image__log_leaf_pixels,image_leaf_size,0.5215717540836555,4.394993104847068e-68,960,NE2025__leaf_number,architecture,0.28224996461924035,7.450329601837664e-18,895,embedding_std_314
sam3,48,1,,NE2025_image__log_leaf_pixels,image_leaf_size,-0.6295420021944248,4.138136456901106e-107,960,NE2025__seed_mass_g,yield,-0.37276990990907866,1.009568595013877e-30,890,embedding_mean_574
sam3,49,1,,NE2025_image__log_leaf_pixels,image_leaf_size,0.49574614404032796,1.0975329288196467e-60,960,NE2025__leaf_number,architecture,0.28168407771691073,8.714667967179578e-18,895,embedding_std_511
sam3,50,1,,NE2025_image__percentUnhealthy,disease_severity,0.6047899261469911,6.391218790299903e-97,961,NE2023__protein_pct,composition,0.18573352526875636,0.0011622442425238712,303,embedding_std_567
sam3,57,1,,NE2025_image__log_leaf_pixels,image_leaf_size,-0.5598518895857704,2.7093287245056162e-80,960,NE2021__days_to_flower,phenology,-0.312588706563892,3.706844130273946e-20,825,embedding_std_753
sam3,59,1,,MI2020__single_plant_stem_dry_weight_g,biomass,0.20136454435286102,0.00012503586733801446,358,MI2020__single_plant_stem_dry_weight_g,biomass,0.20136454435286102,0.00012503586733801446,358,embedding_std_410
sam3,78,1,,NE2025_image__log_leaf_pixels,image_leaf_size,-0.602054443091181,9.697549852673683e-96,960,NE2021__days_to_flower,phenology,-0.3783525780233929,1.791846650678679e-29,825,embedding_std_861
