embedding_set,group_id,rank,trait,category,rho,p,n,n_embeddings,median_within_group_abs_spearman,example_embeddings
dinov2,16,5,NE2020__stem_diameter_lower_mm,architecture,-0.43872112108349787,2.9911307763262323e-16,315,7,0.6236113628479905,dinov2_mean_90;dinov2_mean_210;dinov2_mean_644;dinov2_mean_835;dinov2_mean_983;dinov2_std_305;dinov2_std_684
dinov2,17,1,NE2025_image__percentUnhealthy,disease_severity,-0.27592799127404877,9.917744818666484e-18,931,2,0.10074250867666883,dinov2_std_90;dinov2_std_254
dinov2,17,2,NE2021__primary_branch_count,panicle,0.2033817957748536,0.00032028441638888864,309,2,0.10074250867666883,dinov2_std_90;dinov2_std_254
dinov2,17,3,NE2020__stem_diameter_upper_mm,architecture,0.1777486202431648,0.0015378578066910678,315,2,0.10074250867666883,dinov2_std_90;dinov2_std_254
dinov2,17,4,NE2025_image__human_score,disease_severity,-0.17546741579139313,2.1055771860684516e-05,581,2,0.10074250867666883,dinov2_std_90;dinov2_std_254
dinov2,17,5,NE2020__rachis_diameter_lower_mm,panicle,0.1667694965689112,0.0029885189390984005,315,2,0.10074250867666883,dinov2_std_90;dinov2_std_254
dinov2,18,1,NE2025_image__log_leaf_pixels,image_leaf_size,-0.5501848532502434,1.0524979243032594e-74,930,2,0.17345421030296831,dinov2_mean_12;dinov2_mean_885
dinov2,18,2,NE2025_image__leaf_pixels,image_leaf_size,-0.5482706762356048,4.27025700232997e-74,930,2,0.17345421030296831,dinov2_mean_12;dinov2_mean_885
dinov2,18,3,NE2025_image__percentUnhealthy,disease_severity,0.3791731387906404,3.341700539192426e-33,931,2,0.17345421030296831,dinov2_mean_12;dinov2_mean_885
dinov2,18,4,NE2021__days_to_flower,phenology,-0.3347516763482691,5.0292252102984586e-23,824,2,0.17345421030296831,dinov2_mean_12;dinov2_mean_885
dinov2,18,5,NE2025_image__human_score,disease_severity,0.33209437123354,2.0008752865628018e-16,581,2,0.17345421030296831,dinov2_mean_12;dinov2_mean_885
dinov2,19,1,NE2025_image__leaf_pixels,image_leaf_size,-0.8200192407568304,4.0193250015171465e-227,930,15,0.4975090961614297,dinov2_mean_143;dinov2_mean_245;dinov2_mean_366;dinov2_mean_481;dinov2_mean_515;dinov2_mean_742;dinov2_mean_772;dinov2_mean_802
