image_path,location,image_id,plotNumber,device,range,row,experiment,block,percentUnhealthy,segmentation_method,excluded,poundsOfNitrogenPerAcre,population,genotype,score_A,score_B,comment_A,comment_B
data/fvsu2025/images/250558_LeafPhotoA_2025-10-03 10_10_01.529-05_00.jpg,GA,250558_LeafPhotoA_2025-10-03 10_10_01.529,250558,NA,38,5,NA,NA,3.63,CV2,FALSE,NA,SAP,PI533954,NA,NA,NA,NA
data/fvsu2025/images/250559_LeafPhotoA_2025-10-03 10_10_15.516-05_00.jpg,GA,250559_LeafPhotoA_2025-10-03 10_10_15.516,250559,NA,38,6,NA,NA,5.68,CV2,FALSE,NA,SAP,PI576418,NA,NA,NA,NA
data/fvsu2025/images/250559_LeafPhotoA_2025-10-03 10_10_31.627-05_00.jpg,GA,250559_LeafPhotoA_2025-10-03 10_10_31.627,250559,NA,38,6,NA,NA,1.87,CV2,FALSE,NA,SAP,PI576418,NA,NA,NA,NA
data/fvsu2025/images/250559_LeafPhotoA_2025-10-03 10_10_41.882-05_00.jpg,GA,250559_LeafPhotoA_2025-10-03 10_10_41.882,250559,NA,38,6,NA,NA,6.85,CV2,FALSE,NA,SAP,PI576418,NA,NA,NA,NA
data/fvsu2025/images/250560_LeafPhotoA_2025-10-03 10_11_02.213-05_00.jpg,GA,250560_LeafPhotoA_2025-10-03 10_11_02.213,250560,NA,38,7,NA,NA,3.08,CV2,FALSE,NA,SAP,PI656049,NA,NA,NA,NA
data/fvsu2025/images/250560_LeafPhotoA_2025-10-03 10_11_14.855-05_00.jpg,GA,250560_LeafPhotoA_2025-10-03 10_11_14.855,250560,NA,38,7,NA,NA,1.97,CV2,FALSE,NA,SAP,PI656049,NA,NA,NA,NA
data/fvsu2025/images/250560_LeafPhotoA_2025-10-03 10_11_30.026-05_00.jpg,GA,250560_LeafPhotoA_2025-10-03 10_11_30.026,250560,NA,38,7,NA,NA,3.23,CV2,FALSE,NA,SAP,PI656049,NA,NA,NA,NA
data/fvsu2025/images/250561_LeafPhotoA_2025-10-03 10_11_59.692-05_00.jpg,GA,250561_LeafPhotoA_2025-10-03 10_11_59.692,250561,NA,38,8,NA,NA,6.33,CV2,FALSE,NA,SAP,PI48770,NA,NA,NA,NA
data/fvsu2025/images/250561_LeafPhotoA_2025-10-03 10_12_12.176-05_00.jpg,GA,250561_LeafPhotoA_2025-10-03 10_12_12.176,250561,NA,38,8,NA,NA,5.4,CV2,FALSE,NA,SAP,PI48770,NA,NA,NA,NA
data/fvsu2025/images/250561_LeafPhotoA_2025-10-03 10_12_26.312-05_00.jpg,GA,250561_LeafPhotoA_2025-10-03 10_12_26.312,250561,NA,38,8,NA,NA,5.09,CV2,FALSE,NA,SAP,PI48770,NA,NA,NA,NA
data/fvsu2025/images/250562_LeafPhotoA_2025-10-03 10_12_58.339-05_00.jpg,GA,250562_LeafPhotoA_2025-10-03 10_12_58.339,250562,NA,38,9,NA,NA,2.52,CV2,FALSE,NA,SAP,PI534053,NA,NA,NA,NA
data/fvsu2025/images/250562_LeafPhotoA_2025-10-03 10_13_14.529-05_00.jpg,GA,250562_LeafPhotoA_2025-10-03 10_13_14.529,250562,NA,38,9,NA,NA,1.04,CV2,FALSE,NA,SAP,PI534053,NA,NA,NA,NA
data/fvsu2025/images/250562_LeafPhotoA_2025-10-03 10_13_36.480-05_00.jpg,GA,250562_LeafPhotoA_2025-10-03 10_13_36.480,250562,NA,38,9,NA,NA,6.07,CV2,FALSE,NA,SAP,PI534053,NA,NA,NA,NA
data/fvsu2025/images/250563_LeafPhotoA_2025-10-03 10_13_58.448-05_00.jpg,GA,250563_LeafPhotoA_2025-10-03 10_13_58.448,250563,NA,38,10,NA,NA,3.64,CV2,FALSE,NA,SAP,PI533761,NA,NA,NA,NA
