trait,avg_fi,stat,embedding_num,n_human,spearman_human,abs_spearman_human,spearman_human_r2,pearson_human,pearson_human_r2,n_exg,spearman_exg,abs_spearman_exg,spearman_exg_r2,pearson_exg,pearson_exg_r2,severity_lm_r2_human_exg,n_severity_lm,residual_fraction_after_human_exg
embedding_mean_989,0.00355634267011408,mean,989,598,0.5655599685897794,0.5655599685897794,0.31985807807127226,0.5725832019944783,0.32785152320624955,961,0.6617389378176743,0.6617389378176743,0.43789842182406385,0.570472640411457,0.32543903345801944,0.4168106839450092,598,0.5831893160549908
embedding_std_839,0.0035403639128004,std,839,598,0.6041615034976718,0.6041615034976718,0.36501112230856736,0.5796416130952583,0.33598439963167315,961,0.601733342780086,0.601733342780086,0.3620830158132964,0.5107796785001489,0.2608958799687155,0.37670329964554083,598,0.6232967003544592
embedding_mean_514,0.00350004099755086,mean,514,598,0.568593403968193,0.568593403968193,0.32329845903613674,0.5839481656474143,0.34099546016297994,961,0.6030205191716234,0.6030205191716234,0.3636337465420142,0.5445576180329669,0.29654299935773865,0.4174097234266113,598,0.5825902765733887
embedding_mean_546,0.00342607082019504,mean,546,598,0.6214674948277219,0.6214674948277219,0.38622184712744456,0.6397849582424927,0.40932479279334816,961,0.6434157407012415,0.6434157407012415,0.41398381538212725,0.6042624648048877,0.36513312637207807,0.4929975091394291,598,0.5070024908605709
embedding_std_606,0.00341576636217244,std,606,598,0.4928851549047451,0.4928851549047451,0.24293577592547458,0.5629925602383821,0.31696062288376825,961,0.5580144248668457,0.5580144248668457,0.3113800983594766,0.5888358627707302,0.3467276732849502,0.4344890351611883,598,0.5655109648388117
embedding_mean_984,0.0033798426514469403,mean,984,598,-0.574036707417099,0.574036707417099,0.3295181414622641,-0.5809128951566732,0.337459791759308,961,-0.626082397407353,0.626082397407353,0.39197916834333874,-0.56265547902111,0.31658118807247476,0.4150636127794196,598,0.5849363872205804
embedding_mean_792,0.0033790165274641204,mean,792,598,-0.6212520160388206,0.6212520160388206,0.38595406743229904,-0.6351347218763321,0.40339611493292576,961,-0.6325992809876417,0.6325992809876417,0.4001818503060813,-0.5966741019571374,0.3560199839463564,0.4913450301542698,598,0.5086549698457302
embedding_std_981,0.00337681457715214,std,981,598,-0.5494286837028967,0.5494286837028967,0.3018718784754977,-0.505142323347053,0.25516876683645867,961,-0.524205940380399,0.524205940380399,0.27479186793009847,-0.42112342339768566,0.17734493773418641,0.2754781351488138,598,0.7245218648511862
embedding_std_270,0.00333795490075938,std,270,598,0.5594109593480077,0.5594109593480077,0.3129406214386583,0.5953525182965091,0.35444462104199526,961,0.6433675142625795,0.6433675142625795,0.4139217584084105,0.5859218192571441,0.3433043782816015,0.4444057804236856,598,0.5555942195763144
embedding_std_594,0.0033329859006610597,std,594,598,0.6150297524773639,0.6150297524773639,0.3782615964323675,0.6051524926214245,0.3662095393259232,961,0.5642756883785809,0.5642756883785809,0.3184070524951213,0.49406248236875605,0.24409773648437738,0.40049162060609766,598,0.5995083793939023
embedding_mean_437,0.0033238540580468197,mean,437,598,-0.5642794200798915,0.5642794200798915,0.3184112639256987,-0.5985846957985661,0.3583036380442619,961,-0.6006994371632861,0.6006994371632861,0.3608398138082887,-0.5918891008359355,0.3503327076883722,0.458132083867539,598,0.541867916132461
embedding_mean_901,0.00329081910694188,mean,901,598,-0.5604031067917934,0.5604031067917934,0.3140516421018942,-0.5633917341762096,0.3174102461380768,961,-0.5458957870840762,0.5458957870840762,0.298002210356143,-0.4621680157585778,0.213599274790221,0.34277726967181044,598,0.6572227303281896
embedding_mean_129,0.00327963861153844,mean,129,598,0.5101697220258802,0.5101697220258802,0.2602731452719638,0.5376871292872805,0.28910744900119667,961,0.593142688534547,0.593142688534547,0.3518182489619906,0.5460434393753897,0.2981634376849049,0.3684871684047938,598,0.6315128315952062
embedding_std_567,0.0032420286417575795,std,567,598,0.4799890945988434,0.4799890945988434,0.23038953093381745,0.5309294079235554,0.2818860361980571,961,0.6047899261469911,0.6047899261469911,0.365770854768883,0.5944135334097391,0.353327448700651,0.4008754159514337,598,0.5991245840485663
embedding_mean_930,0.0032380581538511604,mean,930,598,0.4097375127988,0.4097375127988,0.1678848293945468,0.46250148591952905,0.21390762447777234,961,0.4223704016291862,0.4223704016291862,0.17839675617240006,0.47796427019922466,0.22844984358707743,0.27799916902534516,598,0.7220008309746548
embedding_std_983,0.0032284379875344,std,983,598,0.5585975772218696,0.5585975772218696,0.31203125327814263,0.5923813291445179,0.3509156391190257,961,0.6203982691890487,0.6203982691890487,0.3848940124127674,0.6084820996934701,0.3702504656473741,0.464190306673017,598,0.535809693326983
embedding_mean_139,0.00322831291899044,mean,139,598,-0.3853560456974036,0.3853560456974036,0.14849928195553944,-0.4807324348958909,0.23110367396093198,961,-0.5278558471962513,0.5278558471962513,0.27863179541927224,-0.607940209633523,0.36959129848925193,0.40415537741903196,598,0.595844622580968
embedding_std_166,0.0032259904926633803,std,166,598,0.4904332351513394,0.4904332351513394,0.240524758141009,0.5805810629435889,0.33707437064870754,961,0.6073194598125068,0.6073194598125068,0.368836926266955,0.6643521897198086,0.44136383198550455,0.5312677239649899,598,0.4687322760350101
embedding_mean_214,0.0032109168378189204,mean,214,598,0.6062071844217665,0.6062071844217665,0.3674871504445656,0.6058425610150316,0.3670452087372523,961,0.609783686490222,0.609783686490222,0.3718361443096053,0.512969918048269,0.2631381368224478,0.40612922921709704,598,0.593870770782903
embedding_std_82,0.0032047767652352995,std,82,598,0.5771524946620537,0.5771524946620537,0.33310500209463184,0.5706544760379655,0.3256465310221649,961,0.636496025907539,0.636496025907539,0.4051271909960905,0.5102262654120807,0.260330841916359,0.37353051287302563,598,0.6264694871269744
embedding_mean_109,0.0031193407957559203,mean,109,598,-0.5893571913713616,0.5893571913713616,0.3473418990211397,-0.5403183352724792,0.29194390343162324,961,-0.5238001953665976,0.5238001953665976,0.27436664466608585,-0.3737436331518658,0.13968430332155646,0.2974117249310263,598,0.7025882750689737
embedding_mean_734,0.00309466225298,mean,734,598,0.5493037651154977,0.5493037651154977,0.3017346263700619,0.5276274558531655,0.2783907321700841,961,0.5217096855603749,0.5217096855603749,0.2721809960075052,0.4760101857592015,0.22658569694650954,0.3166838081395541,598,0.6833161918604459
embedding_std_517,0.00307947541853534,std,517,598,0.5198837907531296,0.5198837907531296,0.27027915588784385,0.5563254314646079,0.3094979856942821,961,0.5338072439241008,0.5338072439241008,0.28495017366584446,0.5518042514403152,0.3044879319076066,0.38994622199102114,598,0.6100537780089789
