S.No,plotNumber,genotype,rep,population,range,row
538,250369,PI 597965,Rep 2,SAP,26,8
270,250370,PI 533949,Rep 2,SAP,26,9
333,250371,PI 534167,Rep 2,SAP,26,10
481,250372,PI 576390,Rep 2,SAP,26,11
668,250373,PI 656060,Rep 2,SAP,26,12
328,250374,PI 534145,Rep 2,SAP,26,13
520,250375,PI 595739,Rep 2,SAP,26,14
241,250376,PI 533855,Rep 2,SAP,26,15
541,250377,PI 597968,Rep 2,SAP,26,16
687,250378,PI 656090,Rep 2,SAP,26,17
253,250379,PI 533902,Rep 2,SAP,26,18
681,250380,PI 656079,Rep 2,SAP,27,3
617,250381,PI 655997,Rep 2,SAP,27,4
551,250382,PI 609456,Rep 2,SAP,27,5
610,250383,PI 655989,Rep 2,SAP,27,6
216,250384,PI 533759,Rep 2,SAP,27,7
625,250385,PI 656006,Rep 2,SAP,27,8
228,250386,PI 533807,Rep 2,SAP,27,9
651,250387,PI 656038,Rep 2,SAP,27,10
540,250388,PI 597967,Rep 2,SAP,27,11
307,250389,PI 534104,Rep 2,SAP,27,12
707,250390,PI 656114,Rep 2,SAP,27,13
257,250391,PI 533912,Rep 2,SAP,27,14
615,250392,PI 655994,Rep 2,SAP,27,15
223,250393,PI 533789,Rep 2,SAP,27,16
237,250394,PI 533842,Rep 2,SAP,27,17
547,250395,PI 597982,Rep 2,SAP,27,18
296,250396,PI 534046,Rep 2,SAP,28,3
682,250397,PI 656081,Rep 2,SAP,28,4
518,250398,PI 595718,Rep 2,SAP,28,5
302,250399,PI 534092,Rep 2,SAP,28,6
519,250400,PI 595720,Rep 2,SAP,28,7
696,250401,PI 656102,Rep 2,SAP,28,8
221,250402,PI 533776,Rep 2,SAP,28,9
623,250403,PI 656003,Rep 2,SAP,28,10
315,250404,PI 534117,Rep 2,SAP,28,11
394,250405,PI 564163,Rep 2,SAP,28,12
527,250406,PI 597946,Rep 2,SAP,28,13
656,250407,PI 656044,Rep 2,SAP,28,14
460,250408,PI 574455,Rep 2,SAP,28,15
602,250409,PI 655979,Rep 2,SAP,28,16
586,250410,PI 651492,Rep 2,SAP,28,17
233,250411,PI 533833,Rep 2,SAP,28,18
475,250412,PI 576375,Rep 2,SAP,29,3
545,250413,PI 597976,Rep 2,SAP,29,4
593,250414,PI 655971,Rep 2,SAP,29,5
276,250415,PI 533962,Rep 2,SAP,29,6
225,250416,PI 533794,Rep 2,SAP,29,7
679,250417,PI 656076,Rep 2,SAP,29,8
272,250418,PI 533955,Rep 2,SAP,29,9
631,250419,PI 656012,Rep 2,SAP,29,10
291,250420,PI 533998,Rep 2,SAP,29,11
254,250421,PI 533903,Rep 2,SAP,29,12
599,250422,PI 655976,Rep 2,SAP,29,13
214,250423,PI 533757,Rep 2,SAP,29,14
531,250424,PI 597952,Rep 2,SAP,29,15
483,250425,PI 576393,Rep 2,SAP,29,16
665,250426,PI 656056,Rep 2,SAP,29,17
716,250427,PI 659753,Rep 2,SAP,29,18
628,250428,PI 656009,Rep 2,SAP,30,3
694,250429,PI 656099,Rep 2,SAP,30,4
706,250430,PI 656112,Rep 2,SAP,30,5
633,250431,PI 656014,Rep 2,SAP,30,6
354,250432,PI 561472,Rep 2,SAP,30,7
274,250433,PI 533957,Rep 2,SAP,30,8
273,250434,PI 533956,Rep 2,SAP,30,9
715,250435,PI 659694,Rep 2,SAP,30,10
396,250436,PI 564165,Rep 2,SAP,30,11
714,250437,PI 659693,Rep 2,SAP,30,12
472,250438,PI 576364,Rep 2,SAP,30,13
632,250439,PI 656013,Rep 2,SAP,30,14
213,250440,PI 533754,Rep 2,SAP,30,15
279,250441,PI 533967,Rep 2,SAP,30,16
710,250442,PI 656118,Rep 2,SAP,30,17
230,250443,PI 533814,Rep 2,SAP,30,18
528,250444,PI 597949,Rep 2,SAP,31,3
597,250445,PI 655974,Rep 2,SAP,31,4
689,250446,PI 656093,Rep 2,SAP,31,5
344,250447,PI 548797,Rep 2,SAP,31,6
555,250448,PI 629040,Rep 2,SAP,31,7
465,250449,PI 576340,Rep 2,SAP,31,8
326,250450,PI 534139,Rep 2,SAP,31,9
603,250451,PI 655981,Rep 2,SAP,31,10
468,250452,PI 576349,Rep 2,SAP,31,11
516,250453,PI 595702,Rep 2,SAP,31,12
341,250454,PI 540816,Rep 2,SAP,31,13
349,250455,PI 552861,Rep 2,SAP,31,14
701,250456,PI 656107,Rep 2,SAP,31,15
607,250457,PI 655985,Rep 2,SAP,31,16
642,250458,PI 656028,Rep 2,SAP,31,17
236,250459,PI 533841,Rep 2,SAP,31,18
498,250460,PI 585291,Rep 2,SAP,32,3
222,250461,PI 533785,Rep 2,SAP,32,4
294,250462,PI 534028,Rep 2,SAP,32,5
6,250463,PI 35038,Rep 2,SAP,32,6
251,250464,PI 533882,Rep 2,SAP,32,7
626,250465,PI 656007,Rep 2,SAP,32,8
262,250466,PI 533924,Rep 2,SAP,32,9
288,250467,PI 533991,Rep 2,SAP,32,10
252,250468,PI 533901,Rep 2,SAP,32,11
688,250469,PI 656092,Rep 2,SAP,32,12
614,250470,PI 655993,Rep 2,SAP,32,13
589,250471,PI 651496,Rep 2,SAP,32,14
324,250472,PI 534137,Rep 2,SAP,32,15
620,250473,PI 656000,Rep 2,SAP,32,16
634,250474,PI 656016,Rep 2,SAP,32,17
351,250475,PI 561072,Rep 2,SAP,32,18
673,250476,PI 656068,Rep 2,SAP,33,3
616,250477,PI 655995,Rep 2,SAP,33,4
244,250478,PI 533866,Rep 2,SAP,33,5
301,250479,PI 534079,Rep 2,SAP,33,6
