image_path,ExG_P20_disease_pct
250078_LeafPhotoA_2025-10-01 08_56_03.050-05_00_leaf.png,3.09
250078_LeafPhotoA_2025-10-01 08_57_13.107-05_00_leaf.png,27.76
250078_LeafPhotoA_2025-10-01 08_57_56.392-05_00_leaf.png,7.19
250079_LeafPhotoA_2025-10-01 08_54_29.929-05_00_leaf.png,4.82
250079_LeafPhotoA_2025-10-01 08_54_46.365-05_00_leaf.png,5.16
250079_LeafPhotoA_2025-10-01 08_55_09.260-05_00_leaf.png,4.45
250080_LeafPhotoA_2025-10-01 08_53_18.127-05_00_leaf.png,18.37
250080_LeafPhotoA_2025-10-01 08_53_34.588-05_00_leaf.png,3.14
250080_LeafPhotoA_2025-10-01 08_53_52.131-05_00_leaf.png,4.42
250081_LeafPhotoA_2025-10-01 09_36_59.444-05_00_leaf.png,0.81
250081_LeafPhotoA_2025-10-01 09_37_10.569-05_00_leaf.png,5.77
250082_LeafPhotoA_2025-10-01 09_35_55.387-05_00_leaf.png,11.67
250082_LeafPhotoA_2025-10-01 09_36_08.349-05_00_leaf.png,11.42
250082_LeafPhotoA_2025-10-01 09_36_18.618-05_00_leaf.png,8.81
250083_LeafPhotoA_2025-10-01 09_34_27.863-05_00_leaf.png,0.6
250083_LeafPhotoA_2025-10-01 09_34_40.013-05_00_leaf.png,0.12
250083_LeafPhotoA_2025-10-01 09_34_55.595-05_00_leaf.png,31.95
250084_LeafPhotoA_2025-10-01 09_33_00.848-05_00_leaf.png,14.74
250084_LeafPhotoA_2025-10-01 09_33_29.858-05_00_leaf.png,3.68
250084_LeafPhotoA_2025-10-01 09_33_42.784-05_00_leaf.png,13.5
250085_LeafPhotoA_2025-10-01 09_31_55.223-05_00_leaf.png,14.28
250086_LeafPhotoA_2025-10-01 09_30_44.942-05_00_leaf.png,47.55
250087_LeafPhotoA_2025-10-01 09_29_28.346-05_00_leaf.png,2.9
250087_LeafPhotoA_2025-10-01 09_29_40.038-05_00_leaf.png,5.05
250088_LeafPhotoA_2025-10-01 09_28_10.035-05_00_leaf.png,13.28
250088_LeafPhotoA_2025-10-01 09_28_19.454-05_00_leaf.png,1.41
