range ,row,plot,experiment,rep,genotype
15,11,1692,SbDiv 2025,1,PI 533924
16,11,1709,SbDiv 2025,1,PI 656074
17,11,1792,SbDiv 2025,1,PI 561072
18,11,1809,SbDiv 2025,1,SC0837
19,11,1892,SbDiv 2025,1,PI 576358
20,11,1909,SbDiv 2025,1,PI 533923
21,11,1992,SbDiv 2025,1,PI 656016
22,11,5009,Mural ExPVP 2025,1,PI 594355
23,11,9373,Border,Border,Border
1,12,9140,Border,Border,Border
2,12,1010,SbDiv 2025,1,PI 576431
3,12,1091,SbDiv 2025,1,PI 656028
4,12,1110,SbDiv 2025,1,PI 533951
5,12,1191,SbDiv 2025,1,PI 534143
6,12,1210,SbDiv 2025,1,PI 533878
7,12,1291,SbDiv 2025,1,SC0870
8,12,1310,SbDiv 2025,1,PI 534122
9,12,1391,SbDiv 2025,1,PI 534087
10,12,1410,SbDiv 2025,1,PI 533897
11,12,1491,SbDiv 2025,1,PI 533953
12,12,1510,SbDiv 2025,1,PI 629040
13,12,1591,SbDiv 2025,1,SC0470
14,12,1610,SbDiv 2025,1,PI 534137
15,12,1691,SbDiv 2025,1,PI 656080
16,12,1710,SbDiv 2025,1,PI 656085
17,12,1791,SbDiv 2025,1,PI 534064
18,12,1810,SbDiv 2025,1,SC1119
19,12,1891,SbDiv 2025,1,PI 655973
20,12,1910,SbDiv 2025,1,PI 576382
21,12,1991,SbDiv 2025,1,Check
22,12,5010,Mural ExPVP 2025,1,PI 574407
23,12,9374,Border,Border,Border
1,13,9141,Border,Border,Border
2,13,1011,SbDiv 2025,1,PI 576379
3,13,1090,SbDiv 2025,1,PI 597969
4,13,1111,SbDiv 2025,1,PI 656098
5,13,1190,SbDiv 2025,1,PI 574455
6,13,1211,SbDiv 2025,1,PI 533890
7,13,1290,SbDiv 2025,1,PI 533850
8,13,1311,SbDiv 2025,1,PI 656101
