range ,row,plot,experiment,rep,genotype
12,54,1502,SbDiv 2025,1,SC1193
13,54,1599,SbDiv 2025,1,PI 534164
14,54,1602,SbDiv 2025,1,PI 656005
15,54,1699,SbDiv 2025,1,PI 656084
16,54,1702,SbDiv 2025,1,PI 533869
17,54,1799,SbDiv 2025,1,PI 655998
18,54,1802,SbDiv 2025,1,PI 656024
19,54,1899,SbDiv 2025,1,Check
20,54,1902,SbDiv 2025,1,PI 576408
21,54,1999,SbDiv 2025,1,PI 576391
22,54,5002,Mural ExPVP 2025,1,PI 601554
23,54,9416,Border,Border,Border
1,55,9183,Border,Border,Border
2,55,2001,SbDiv 2025,2,PI 576411
3,55,2100,SbDiv 2025,2,PI 534033
4,55,2101,SbDiv 2025,2,SC0814
5,55,2200,SbDiv 2025,2,PI 534135
6,55,2201,SbDiv 2025,2,PI 595733
7,55,2300,SbDiv 2025,2,PI 533973
8,55,2301,SbDiv 2025,2,PI 656103
9,55,2400,SbDiv 2025,2,PI 533859
10,55,2401,SbDiv 2025,2,PI 534116
11,55,2500,SbDiv 2025,2,BTx643
12,55,2501,SbDiv 2025,2,PI 576414
13,55,2600,SbDiv 2025,2,PI 533786
14,55,2601,SbDiv 2025,2,PI 656018
15,55,2700,SbDiv 2025,2,PI 597964
16,55,2701,SbDiv 2025,2,SC1216
17,55,2800,SbDiv 2025,2,Check
18,55,2801,SbDiv 2025,2,PI 533986
19,55,2900,SbDiv 2025,2,PI 655973
20,55,2901,SbDiv 2025,2,PI 533908
21,55,9354,Border,Border,Border
22,55,6001,Mural ExPVP 2025,2,PI 601716
23,55,9417,Border,Border,Border
1,56,9184,Border,Border,Border
2,56,2002,SbDiv 2025,2,PI 655987
3,56,2099,SbDiv 2025,2,PI 656039
4,56,2102,SbDiv 2025,2,PI 533899
5,56,2199,SbDiv 2025,2,PI 542718
6,56,2202,SbDiv 2025,2,PI 576380
7,56,2299,SbDiv 2025,2,Check
8,56,2302,SbDiv 2025,2,PI 595742
9,56,2399,SbDiv 2025,2,PI 576352
10,56,2402,SbDiv 2025,2,Check
11,56,2499,SbDiv 2025,2,PI 576374
12,56,2502,SbDiv 2025,2,Check
13,56,2599,SbDiv 2025,2,PI 534068
14,56,2602,SbDiv 2025,2,SC0823
15,56,2699,SbDiv 2025,2,PI 597974
16,56,2702,SbDiv 2025,2,Check
17,56,2799,SbDiv 2025,2,PI 534039
18,56,2802,SbDiv 2025,2,PI 656012
19,56,2899,SbDiv 2025,2,PI 597981
20,56,2902,SbDiv 2025,2,Check
21,56,2999,SbDiv 2025,2,PI 534050
22,56,6002,Mural ExPVP 2025,2,Fill
23,56,9418,Border,Border,Border
1,57,9185,Border,Border,Border
2,57,2003,SbDiv 2025,2,PI 533938
3,57,2098,SbDiv 2025,2,PI 656075
4,57,2103,Mural ExPVP 2025,2,PI 601743
5,57,2198,SbDiv 2025,2,PI 534074
6,57,2203,SbDiv 2025,2,SC0604
7,57,2298,SbDiv 2025,2,SC0517
8,57,2303,SbDiv 2025,2,PI 659694
9,57,2398,SbDiv 2025,2,PI 533894
10,57,2403,SbDiv 2025,2,PI 533948
11,57,2498,SbDiv 2025,2,SC0550
12,57,2503,SbDiv 2025,2,PI 533975
13,57,2598,SbDiv 2025,2,SC0438
14,57,2603,SbDiv 2025,2,PI 656036
15,57,2698,SbDiv 2025,2,PI 595703
16,57,2703,SbDiv 2025,2,PI 533873
17,57,2798,SbDiv 2025,2,SC1119
18,57,2803,SbDiv 2025,2,PI 656016
19,57,2898,SbDiv 2025,2,PI 597967
20,57,2903,SbDiv 2025,2,PI 534117
21,57,2998,SbDiv 2025,2,SC0713
22,57,6003,SbDiv 2025,2,PI 533753
23,57,9419,Mural ExPVP 2025,Border,PI 601743
1,58,9186,Border,Border,Border
2,58,2004,SbDiv 2025,2,Check
3,58,2097,SbDiv 2025,2,PI 533893
4,58,2104,Mural ExPVP 2025,2,PI 613610
5,58,2197,SbDiv 2025,2,PI 595713
6,58,2204,SbDiv 2025,2,PI 656031
7,58,2297,SbDiv 2025,2,PI 576370
8,58,2304,SbDiv 2025,2,PI 534160
9,58,2397,SbDiv 2025,2,PI 656037
10,58,2404,SbDiv 2025,2,SC0156
11,58,2497,SbDiv 2025,2,PI 533827
12,58,2504,SbDiv 2025,2,PI 533813
13,58,2597,SbDiv 2025,2,PI 533983
14,58,2604,SbDiv 2025,2,PI 534096
15,58,2697,SbDiv 2025,2,SC0448
16,58,2704,SbDiv 2025,2,PI 655977
17,58,2797,SbDiv 2025,2,PI 576337
18,58,2804,SbDiv 2025,2,SC0895
19,58,2897,SbDiv 2025,2,PI 655979
20,58,2904,SbDiv 2025,2,PI 595716
21,58,2997,SbDiv 2025,2,PI 656042
22,58,6004,SbDiv 2025,2,SC0027
23,58,9420,Mural ExPVP 2025,Border,PI 613610
1,59,9187,Border,Border,Border
2,59,2005,SbDiv 2025,2,PI 533825
3,59,2096,SbDiv 2025,2,PI 533767
4,59,2105,Mural ExPVP 2025,2,Fill
5,59,2196,SbDiv 2025,2,PI 534077
6,59,2205,SbDiv 2025,2,PI 576385
7,59,2296,SbDiv 2025,2,PI 576373
8,59,2305,SbDiv 2025,2,PI 533981
9,59,2396,SbDiv 2025,2,PI 576413
10,59,2405,SbDiv 2025,2,PI 576382
11,59,2496,SbDiv 2025,2,PI 595706
12,59,2505,SbDiv 2025,2,PI 656069
13,59,2596,SbDiv 2025,2,PI 533773
14,59,2605,SbDiv 2025,2,PI 656013
15,59,2696,SbDiv 2025,2,PI 656113
16,59,2705,SbDiv 2025,2,PI 659696
17,59,2796,SbDiv 2025,2,SC0150
18,59,2805,SbDiv 2025,2,SC0631
19,59,2896,SbDiv 2025,2,PI 561073
20,59,2905,SbDiv 2025,2,PI 534076
21,59,2996,SbDiv 2025,2,PI 534145
22,59,6005,SbDiv 2025,2,PI 534057
23,59,9421,Mural ExPVP 2025,Border,Fill
1,60,9188,Border,Border,Border
2,60,2006,SbDiv 2025,2,SC1107
3,60,2095,SbDiv 2025,2,PI 597945
4,60,2106,Mural ExPVP 2025,2,PI 601554
5,60,2195,SbDiv 2025,2,PI 595712
6,60,2206,SbDiv 2025,2,PI 656048
7,60,2295,SbDiv 2025,2,PI 35038
8,60,2306,SbDiv 2025,2,SC0747
9,60,2395,SbDiv 2025,2,PI 533815
10,60,2406,SbDiv 2025,2,PI 534063
11,60,2495,SbDiv 2025,2,PI 656034
12,60,2506,SbDiv 2025,2,PI 533776
13,60,2595,SbDiv 2025,2,PI 533940
14,60,2606,SbDiv 2025,2,PI 534133
15,60,2695,SbDiv 2025,2,PI 534132
16,60,2706,SbDiv 2025,2,PI 533807
17,60,2795,SbDiv 2025,2,Check
18,60,2806,SbDiv 2025,2,Check
19,60,2895,SbDiv 2025,2,PI 597970
20,60,2906,SbDiv 2025,2,PI 642998
21,60,2995,SbDiv 2025,2,PI 576363
22,60,6006,SbDiv 2025,2,PI 656092
23,60,9422,Mural ExPVP 2025,Border,PI 601554
1,61,9189,Border,Border,Border
2,61,2007,SbDiv 2025,2,PI 533895
3,61,2094,SbDiv 2025,2,PI 656099
4,61,2107,SbDiv 2025,2,PI 533910
5,61,2194,SbDiv 2025,2,PI 533953
6,61,2207,SbDiv 2025,2,PI 533766
7,61,2294,SbDiv 2025,2,PI 533845
8,61,2307,SbDiv 2025,2,PI 534021
9,61,2394,SbDiv 2025,2,PI 533867
10,61,2407,SbDiv 2025,2,PI 534015
11,61,2494,SbDiv 2025,2,PI 533905
12,61,2507,SbDiv 2025,2,PI 534043
13,61,2594,SbDiv 2025,2,PI 533977
14,61,2607,SbDiv 2025,2,PI 34911
15,61,2694,SbDiv 2025,2,PI 534056
16,61,2707,SbDiv 2025,2,PI 534080
17,61,2794,SbDiv 2025,2,PI 534136
18,61,2807,SbDiv 2025,2,PI 597957
19,61,2894,SbDiv 2025,2,PI 597949
20,61,2907,SbDiv 2025,2,PI 534028
21,61,2994,SbDiv 2025,2,PI 576432
22,61,6007,Mural ExPVP 2025,2,Fill
23,61,9423,Border,Border,Border
1,62,9190,Border,Border,Border
2,62,2008,SbDiv 2025,2,PI 576340
3,62,2093,SbDiv 2025,2,PI 533888
4,62,2108,SbDiv 2025,2,Check
5,62,2193,SbDiv 2025,2,PI 597962
6,62,2208,SbDiv 2025,2,PI 656109
7,62,2293,SbDiv 2025,2,Check
8,62,2308,SbDiv 2025,2,PI 595730
9,62,2393,SbDiv 2025,2,PI 656112
10,62,2408,SbDiv 2025,2,PI 574455
11,62,2493,SbDiv 2025,2,SC0263
12,62,2508,SbDiv 2025,2,SC0436
13,62,2593,SbDiv 2025,2,PI 576396
14,62,2608,SbDiv 2025,2,SC1166
15,62,2693,SbDiv 2025,2,SC0249
16,62,2708,SbDiv 2025,2,PI 642793
17,62,2793,SbDiv 2025,2,PI 656027
18,62,2808,SbDiv 2025,2,PI 655994
19,62,2893,SbDiv 2025,2,PI 534166
20,62,2908,SbDiv 2025,2,PI 533999
21,62,2993,SbDiv 2025,2,PI 576381
22,62,6008,Mural ExPVP 2025,2,PI 601556
23,62,9424,Border,Border,Border
1,63,9191,Border,Border,Border
2,63,2009,SbDiv 2025,2,PI 533757
3,63,2092,SbDiv 2025,2,SC0753
4,63,2109,SbDiv 2025,2,PI 534108
5,63,2192,SbDiv 2025,2,PI 656084
6,63,2209,SbDiv 2025,2,PI 642992
7,63,2292,SbDiv 2025,2,PI 533947
8,63,2309,SbDiv 2025,2,PI 533937
9,63,2392,SbDiv 2025,2,Check
10,63,2409,SbDiv 2025,2,PI 534020
11,63,2492,SbDiv 2025,2,PI 656072
12,63,2509,SbDiv 2025,2,SC0878
13,63,2592,SbDiv 2025,2,Check
14,63,2609,SbDiv 2025,2,PI 656121
15,63,2692,SbDiv 2025,2,PI 576389
16,63,2709,SbDiv 2025,2,PI 533811
17,63,2792,SbDiv 2025,2,PI 533858
18,63,2809,SbDiv 2025,2,PI 598069
19,63,2892,SbDiv 2025,2,PI 533842
20,63,2909,SbDiv 2025,2,PI 534005
21,63,2992,SbDiv 2025,2,PI 534011
22,63,6009,Mural ExPVP 2025,2,PI 601555
23,63,9425,Border,Border,Border
1,64,9192,Border,Border,Border
2,64,2010,SbDiv 2025,2,PI 533810
3,64,2091,SbDiv 2025,2,PI 534003
4,64,2110,SbDiv 2025,2,PI 548797
5,64,2191,SbDiv 2025,2,PI 533974
6,64,2210,SbDiv 2025,2,SC0837
7,64,2291,SbDiv 2025,2,PI 533824
8,64,2310,SbDiv 2025,2,PI 576420
9,64,2391,SbDiv 2025,2,SC1442
10,64,2410,SbDiv 2025,2,PI 656102
11,64,2491,SbDiv 2025,2,SC0870
12,64,2510,SbDiv 2025,2,PI 656106
13,64,2591,SbDiv 2025,2,PI 533761
14,64,2610,SbDiv 2025,2,PI 534007
15,64,2691,SbDiv 2025,2,PI 576435
16,64,2710,SbDiv 2025,2,PI 533781
17,64,2791,SbDiv 2025,2,PI 533771
18,64,2810,SbDiv 2025,2,PI 655972
19,64,2891,SbDiv 2025,2,PI 533872
20,64,2910,SbDiv 2025,2,Check
21,64,2991,SbDiv 2025,2,PI 533854
22,64,6010,Mural ExPVP 2025,2,Fill
23,64,9426,Border,Border,Border
1,65,9193,Border,Border,Border
2,65,2011,SbDiv 2025,2,PI 656083
3,65,2090,SbDiv 2025,2,PI 534009
4,65,2111,SbDiv 2025,2,PI 542406
5,65,2190,SbDiv 2025,2,PI 534127
6,65,2211,SbDiv 2025,2,PI 595736
7,65,2290,SbDiv 2025,2,PI 656067
8,65,2311,SbDiv 2025,2,PI 656114
9,65,2390,SbDiv 2025,2,Check
10,65,2411,SbDiv 2025,2,PI 585291
11,65,2490,SbDiv 2025,2,PI 534152
12,65,2511,SbDiv 2025,2,PI 533866
13,65,2590,SbDiv 2025,2,PI 534159
14,65,2611,SbDiv 2025,2,PI 576328
15,65,2690,SbDiv 2025,2,PI 597980
16,65,2711,SbDiv 2025,2,PI 533968
17,65,2790,SbDiv 2025,2,PI 597979
18,65,2811,SbDiv 2025,2,PI 656044
19,65,2890,SbDiv 2025,2,PI 595702
20,65,2911,SbDiv 2025,2,PI 597960
21,65,2990,SbDiv 2025,2,PI 534042
22,65,6011,Mural ExPVP 2025,2,PI 601553
23,65,9427,Border,Border,Border
1,66,9194,Border,Border,Border
2,66,2012,SbDiv 2025,2,PI 533861
3,66,2089,SbDiv 2025,2,PI 533789
4,66,2112,SbDiv 2025,2,PI 533831
5,66,2189,SbDiv 2025,2,PI 276837
6,66,2212,SbDiv 2025,2,SC0235
7,66,2289,SbDiv 2025,2,PI 576410
8,66,2312,SbDiv 2025,2,PI 533787
9,66,2389,SbDiv 2025,2,PI 576406
10,66,2412,SbDiv 2025,2,PI 576377
11,66,2489,SbDiv 2025,2,PI 534073
12,66,2512,SbDiv 2025,2,PI 533754
13,66,2589,SbDiv 2025,2,PI 656074
14,66,2612,SbDiv 2025,2,PI 533942
15,66,2689,SbDiv 2025,2,Check
16,66,2712,SbDiv 2025,2,PI 533830
17,66,2789,SbDiv 2025,2,PI 534147
18,66,2812,SbDiv 2025,2,PI 533978
19,66,2889,SbDiv 2025,2,PI 576347
20,66,2912,SbDiv 2025,2,Check
21,66,2989,SbDiv 2025,2,SC0521
22,66,6012,Mural ExPVP 2025,2,PI 603983
23,66,9428,Border,Border,Border
1,67,9195,Border,Border,Border
2,67,2013,SbDiv 2025,2,SC0470
3,67,2088,SbDiv 2025,2,PI 534071
4,67,2113,SbDiv 2025,2,PI 576395
5,67,2188,SbDiv 2025,2,SC0777
6,67,2213,SbDiv 2025,2,PI 534019
7,67,2288,SbDiv 2025,2,PI 534099
8,67,2313,SbDiv 2025,2,PI 576346
9,67,2388,SbDiv 2025,2,PI 641836
10,67,2413,SbDiv 2025,2,PI 534102
11,67,2488,SbDiv 2025,2,PI 48770
12,67,2513,SbDiv 2025,2,PI 576416
13,67,2588,SbDiv 2025,2,PI 534087
14,67,2613,SbDiv 2025,2,PI 533792
15,67,2688,SbDiv 2025,2,SC0041
16,67,2713,SbDiv 2025,2,PI 534098
17,67,2788,SbDiv 2025,2,PI 656040
18,67,2813,SbDiv 2025,2,PI 533752
19,67,2888,SbDiv 2025,2,PI 534026
20,67,2913,SbDiv 2025,2,PI 656116
21,67,2988,SbDiv 2025,2,PI 576390
22,67,6013,Mural ExPVP 2025,2,PI 554650
23,67,9429,Border,Border,Border
1,68,9196,Border,Border,Border
2,68,2014,SbDiv 2025,2,PI 576392
3,68,2087,SbDiv 2025,2,PI 534143
4,68,2114,SbDiv 2025,2,PI 533804
5,68,2187,SbDiv 2025,2,Check
6,68,2214,SbDiv 2025,2,SC0615
7,68,2287,SbDiv 2025,2,PI 533922
8,68,2314,SbDiv 2025,2,PI 656009
9,68,2387,SbDiv 2025,2,PI 564164
10,68,2414,SbDiv 2025,2,PI 656111
11,68,2487,SbDiv 2025,2,PI 576412
12,68,2514,SbDiv 2025,2,PI 533823
13,68,2587,SbDiv 2025,2,PI 329435
14,68,2614,SbDiv 2025,2,PI 533949
15,68,2687,SbDiv 2025,2,PI 576358
16,68,2714,SbDiv 2025,2,PI 656047
17,68,2787,SbDiv 2025,2,PI 534118
18,68,2814,SbDiv 2025,2,PI 597950
19,68,2887,SbDiv 2025,2,PI 533970
20,68,2914,SbDiv 2025,2,PI 534027
21,68,2987,SbDiv 2025,2,PI 534101
22,68,6014,Mural ExPVP 2025,2,PI 543243
23,68,9430,Border,Border,Border
1,69,9197,Border,Border,Border
2,69,2015,SbDiv 2025,2,Check
3,69,2086,SbDiv 2025,2,SC0297
4,69,2115,SbDiv 2025,2,PI 656035
5,69,2186,SbDiv 2025,2,PI 533794
6,69,2215,SbDiv 2025,2,PI 534069
7,69,2286,SbDiv 2025,2,PI 629040
8,69,2315,SbDiv 2025,2,PI 576437
9,69,2386,SbDiv 2025,2,PI 656066
10,69,2415,SbDiv 2025,2,PI 655996
11,69,2486,SbDiv 2025,2,PI 576386
12,69,2515,SbDiv 2025,2,Check
13,69,2586,SbDiv 2025,2,PI 534025
14,69,2615,SbDiv 2025,2,PI 534051
15,69,2686,SbDiv 2025,2,PI 656088
16,69,2715,SbDiv 2025,2,PI 533782
17,69,2786,SbDiv 2025,2,PI 533989
18,69,2815,SbDiv 2025,2,Check
19,69,2886,SbDiv 2025,2,PI 595748
20,69,2915,SbDiv 2025,2,PI 533906
21,69,2986,SbDiv 2025,2,PI 534141
22,69,6015,Mural ExPVP 2025,2,Fill
23,69,9431,Border,Border,Border
1,70,9198,Border,Border,Border
2,70,2016,SbDiv 2025,2,PI 595711
3,70,2085,SbDiv 2025,2,PI 534048
4,70,2116,SbDiv 2025,2,Check
5,70,2185,SbDiv 2025,2,PI 533760
6,70,2216,SbDiv 2025,2,Check
7,70,2285,SbDiv 2025,2,PI 595747
8,70,2316,SbDiv 2025,2,PI 534000
9,70,2385,SbDiv 2025,2,PI 597944
10,70,2416,SbDiv 2025,2,PI 533880
11,70,2485,SbDiv 2025,2,PI 629034
12,70,2516,SbDiv 2025,2,PI 533855
13,70,2585,SbDiv 2025,2,PI 656091
14,70,2616,SbDiv 2025,2,SC0685
15,70,2685,SbDiv 2025,2,PI 534035
16,70,2716,SbDiv 2025,2,PI 597972
17,70,2785,SbDiv 2025,2,PI 534054
18,70,2816,SbDiv 2025,2,PI 533820
19,70,2885,SbDiv 2025,2,Check
20,70,2916,SbDiv 2025,2,PI 576422
21,70,2985,SbDiv 2025,2,PI 533967
22,70,6016,Mural ExPVP 2025,2,PI 606788
23,70,9432,Border,Border,Border
1,71,9199,Border,Border,Border
2,71,2017,SbDiv 2025,2,PI 533889
3,71,2084,SbDiv 2025,2,PI 534022
4,71,2117,SbDiv 2025,2,PI 533846
5,71,2184,SbDiv 2025,2,PI 595726
6,71,2217,SbDiv 2025,2,PI 533843
7,71,2284,SbDiv 2025,2,PI 576353
8,71,2317,SbDiv 2025,2,PI 534065
9,71,2384,SbDiv 2025,2,PI 534162
10,71,2417,SbDiv 2025,2,PI 595701
11,71,2484,SbDiv 2025,2,PI 653617
12,71,2517,SbDiv 2025,2,PI 533927
13,71,2584,SbDiv 2025,2,PI 656043
14,71,2617,SbDiv 2025,2,PI 576379
15,71,2684,SbDiv 2025,2,PI 595729
16,71,2717,SbDiv 2025,2,SC0409
17,71,2784,SbDiv 2025,2,SC0847
18,71,2817,SbDiv 2025,2,PI 534115
19,71,2884,SbDiv 2025,2,PI 534059
20,71,2917,SbDiv 2025,2,PI 597968
21,71,2984,SbDiv 2025,2,PI 534079
22,71,6017,Mural ExPVP 2025,2,PI 554648
23,71,9433,Border,Border,Border
1,72,9200,Border,Border,Border
2,72,2018,SbDiv 2025,2,PI 534062
3,72,2083,SbDiv 2025,2,SC0157
4,72,2118,SbDiv 2025,2,SC0858
5,72,2183,SbDiv 2025,2,PI 656038
6,72,2218,SbDiv 2025,2,SC0581
7,72,2283,SbDiv 2025,2,PI 597954
8,72,2318,SbDiv 2025,2,SC0602
9,72,2383,SbDiv 2025,2,PI 533887
10,72,2418,SbDiv 2025,2,PI 533863
11,72,2483,SbDiv 2025,2,PI 656017
12,72,2518,SbDiv 2025,2,PI 533836
13,72,2583,SbDiv 2025,2,PI 533799
14,72,2618,SbDiv 2025,2,PI 656100
15,72,2683,SbDiv 2025,2,PI 595746
16,72,2718,SbDiv 2025,2,PI 534067
17,72,2783,SbDiv 2025,2,PI 533869
18,72,2818,SbDiv 2025,2,PI 656054
19,72,2883,SbDiv 2025,2,PI 533755
20,72,2918,SbDiv 2025,2,PI 533838
21,72,2983,SbDiv 2025,2,PI 576362
22,72,6018,Mural ExPVP 2025,2,PI 562623
23,72,9434,Border,Border,Border
1,73,9201,Border,Border,Border
2,73,2019,SbDiv 2025,2,PI 641874
3,73,2082,SbDiv 2025,2,PI 534158
4,73,2119,SbDiv 2025,2,PI 534004
5,73,2182,SbDiv 2025,2,SC0505
6,73,2219,SbDiv 2025,2,PI 561072
7,73,2282,SbDiv 2025,2,PI 597943
8,73,2319,SbDiv 2025,2,Check
9,73,2382,SbDiv 2025,2,PI 655995
10,73,2419,SbDiv 2025,2,SC1097
11,73,2482,SbDiv 2025,2,PI 533802
12,73,2519,SbDiv 2025,2,PI 595738
13,73,2582,SbDiv 2025,2,PI 656107
14,73,2619,SbDiv 2025,2,PI 533914
15,73,2682,SbDiv 2025,2,PI 533995
16,73,2719,SbDiv 2025,2,SC0848
17,73,2782,SbDiv 2025,2,PI 533946
18,73,2819,SbDiv 2025,2,PI 655983
19,73,2882,SbDiv 2025,2,PI 533993
20,73,2919,SbDiv 2025,2,Check
21,73,2982,SbDiv 2025,2,PI 534031
22,73,6019,Mural ExPVP 2025,2,PI 619402
23,73,9435,Border,Border,Border
1,74,9202,Border,Border,Border
2,74,2020,SbDiv 2025,2,PI 576424
3,74,2081,SbDiv 2025,2,PI 533783
4,74,2120,SbDiv 2025,2,PI 533944
5,74,2181,SbDiv 2025,2,PI 533840
6,74,2220,SbDiv 2025,2,PI 597951
7,74,2281,SbDiv 2025,2,SC0923
8,74,2320,SbDiv 2025,2,PI 656089
9,74,2381,SbDiv 2025,2,PI 533874
10,74,2420,SbDiv 2025,2,PI 601816
11,74,2481,SbDiv 2025,2,PI 576334
12,74,2520,SbDiv 2025,2,Check
13,74,2581,SbDiv 2025,2,PI 656029
14,74,2620,SbDiv 2025,2,SC0877
15,74,2681,SbDiv 2025,2,PI 656007
16,74,2720,SbDiv 2025,2,Check
17,74,2781,SbDiv 2025,2,PI 576368
18,74,2820,SbDiv 2025,2,PI 533878
19,74,2881,SbDiv 2025,2,PI 534126
20,74,2920,SbDiv 2025,2,PI 533750
21,74,2981,SbDiv 2025,2,PI 656033
22,74,6020,Mural ExPVP 2025,2,Fill
23,74,9436,Border,Border,Border
1,75,9203,Border,Border,Border
2,75,2021,SbDiv 2025,2,PI 656095
3,75,2080,SbDiv 2025,2,PI 597953
4,75,2121,SbDiv 2025,2,PI 533832
5,75,2180,SbDiv 2025,2,PI 576371
6,75,2221,SbDiv 2025,2,PI 651492
7,75,2280,SbDiv 2025,2,PI 533883
8,75,2321,SbDiv 2025,2,PI 656115
9,75,2380,SbDiv 2025,2,PI 153844
10,75,2421,SbDiv 2025,2,SC0138
11,75,2480,SbDiv 2025,2,PI 656023
12,75,2521,SbDiv 2025,2,PI 533886
13,75,2580,SbDiv 2025,2,SC1082
14,75,2621,SbDiv 2025,2,SC0247
15,75,2680,SbDiv 2025,2,PI 534092
16,75,2721,SbDiv 2025,2,PI 576375
17,75,2780,SbDiv 2025,2,PI 564165
18,75,2821,SbDiv 2025,2,PI 655971
19,75,2880,SbDiv 2025,2,PI 595721
20,75,2921,SbDiv 2025,2,PI 595744
21,75,2980,SbDiv 2025,2,PI 533856
22,75,6021,Mural ExPVP 2025,2,PI 544069
23,75,9437,Border,Border,Border
1,76,9204,Border,Border,Border
2,76,2022,SbDiv 2025,2,SC0159
3,76,2079,SbDiv 2025,2,PI 533915
4,76,2122,SbDiv 2025,2,PI 534064
5,76,2179,SbDiv 2025,2,PI 533919
6,76,2222,SbDiv 2025,2,PI 534123
7,76,2279,SbDiv 2025,2,PI 533784
8,76,2322,SbDiv 2025,2,PI 552856
9,76,2379,SbDiv 2025,2,PI 533791
10,76,2422,SbDiv 2025,2,PI 533808
11,76,2479,SbDiv 2025,2,SC0965
12,76,2522,SbDiv 2025,2,PI 656058
13,76,2579,SbDiv 2025,2,SC0914
14,76,2622,SbDiv 2025,2,SC0276
15,76,2679,SbDiv 2025,2,PI 533865
16,76,2722,SbDiv 2025,2,SC0551
17,76,2779,SbDiv 2025,2,PI 534001
18,76,2822,SbDiv 2025,2,PI 655975
19,76,2879,SbDiv 2025,2,PI 533962
20,76,2922,SbDiv 2025,2,PI 656093
21,76,2979,SbDiv 2025,2,PI 533909
22,76,6022,Mural ExPVP 2025,2,Fill
23,76,9438,Border,Border,Border
1,77,9205,Border,Border,Border
2,77,2023,SbDiv 2025,2,SC0640
3,77,2078,SbDiv 2025,2,PI 533900
4,77,2123,SbDiv 2025,2,PI 597963
5,77,2178,SbDiv 2025,2,PI 656118
6,77,2223,SbDiv 2025,2,PI 576360
7,77,2278,SbDiv 2025,2,SC0834
8,77,2323,SbDiv 2025,2,SC0445
9,77,2378,SbDiv 2025,2,PI 533795
10,77,2423,SbDiv 2025,2,PI 534034
11,77,2478,SbDiv 2025,2,PI 534148
12,77,2523,SbDiv 2025,2,PI 576357
13,77,2578,SbDiv 2025,2,PI 576372
14,77,2623,SbDiv 2025,2,PI 533819
15,77,2678,SbDiv 2025,2,PI 595708
16,77,2723,SbDiv 2025,2,PI 534082
17,77,2778,SbDiv 2025,2,PI 656006
18,77,2823,SbDiv 2025,2,PI 656056
19,77,2878,SbDiv 2025,2,PI 533818
20,77,2923,SbDiv 2025,2,SC0343
21,77,2978,SbDiv 2025,2,PI 533871
22,77,6023,Mural ExPVP 2025,2,PI 574407
23,77,9439,Border,Border,Border
1,78,9206,Border,Border,Border
2,78,2024,SbDiv 2025,2,SC0652
3,78,2077,SbDiv 2025,2,PI 534153
4,78,2124,SbDiv 2025,2,PI 533833
5,78,2177,SbDiv 2025,2,PI 659691
6,78,2224,SbDiv 2025,2,SC0190
7,78,2277,SbDiv 2025,2,PI 597947
8,78,2324,SbDiv 2025,2,PI 534081
9,78,2377,SbDiv 2025,2,PI 533879
10,78,2424,SbDiv 2025,2,PI 534151
11,78,2477,SbDiv 2025,2,PI 656101
12,78,2524,SbDiv 2025,2,PI 576345
13,78,2577,SbDiv 2025,2,PI 564163
14,78,2624,SbDiv 2025,2,PI 576407
15,78,2677,SbDiv 2025,2,PI 597969
16,78,2724,SbDiv 2025,2,PI 656024
17,78,2777,SbDiv 2025,2,PI 576330
18,78,2824,SbDiv 2025,2,PI 576331
19,78,2877,SbDiv 2025,2,PI 534024
20,78,2924,SbDiv 2025,2,PI 576426
21,78,2977,SbDiv 2025,2,PI 533803
22,78,6024,Mural ExPVP 2025,2,PI 601744
23,78,9440,Border,Border,Border
1,79,9207,Border,Border,Border
2,79,2025,SbDiv 2025,2,PI 655976
3,79,2076,SbDiv 2025,2,Check
4,79,2125,SbDiv 2025,2,PI 656003
5,79,2176,SbDiv 2025,2,PI 595743
6,79,2225,SbDiv 2025,2,Check
7,79,2276,SbDiv 2025,2,PI 656050
8,79,2325,SbDiv 2025,2,Check
9,79,2376,SbDiv 2025,2,PI 597978
10,79,2425,SbDiv 2025,2,PI 595714
11,79,2476,SbDiv 2025,2,Check
12,79,2525,SbDiv 2025,2,PI 533959
13,79,2576,SbDiv 2025,2,PI 656082
14,79,2625,SbDiv 2025,2,PI 533774
15,79,2676,SbDiv 2025,2,Check
16,79,2725,SbDiv 2025,2,PI 533762
17,79,2776,SbDiv 2025,2,Check
18,79,2825,SbDiv 2025,2,PI 533928
19,79,2876,SbDiv 2025,2,PI 534094
20,79,2925,SbDiv 2025,2,Check
21,79,2976,SbDiv 2025,2,PI 533797
22,79,6025,Mural ExPVP 2025,2,PI 605723
23,79,9441,Border,Border,Border
1,80,9208,Border,Border,Border
2,80,2026,SbDiv 2025,2,PI 534105
3,80,2075,SbDiv 2025,2,PI 655984
4,80,2126,SbDiv 2025,2,PI 24969
5,80,2175,SbDiv 2025,2,PI 534060
6,80,2226,SbDiv 2025,2,PI 533954
7,80,2275,SbDiv 2025,2,PI 656104
8,80,2326,SbDiv 2025,2,SC1133
9,80,2375,SbDiv 2025,2,PI 597959
10,80,2426,SbDiv 2025,2,Check
11,80,2475,SbDiv 2025,2,PI 534040
12,80,2526,SbDiv 2025,2,PI 533971
13,80,2575,SbDiv 2025,2,PI 534049
14,80,2626,SbDiv 2025,2,PI 576409
15,80,2675,SbDiv 2025,2,PI 576365
