image_path,pctd,plotNumber
1084_LeafPhotoA_2025-09-09 10_56_54.861-05_00_leaf.png,0,1084
1084_LeafPhotoA_2025-09-09 10_57_11.618-05_00_leaf.png,0.05,1084
1084_LeafPhotoA_2025-09-09 10_57_27.969-05_00_leaf.png,0.02,1084
1085_LeafPhotoA_2025-09-09 10_57_52.246-05_00_leaf.png,0.06,1085
1085_LeafPhotoA_2025-09-09 10_57_54.383-05_00_leaf.png,0.06,1085
1085_LeafPhotoA_2025-09-09 10_58_08.346-05_00_leaf.png,0.1,1085
1085_LeafPhotoA_2025-09-09 10_58_22.092-05_00_leaf.png,0.12,1085
1086_LeafPhotoA_2025-09-09 10_58_54.973-05_00_leaf.png,0.95,1086
1086_LeafPhotoA_2025-09-09 10_59_11.313-05_00_leaf.png,0.15,1086
1086_LeafPhotoA_2025-09-09 10_59_23.090-05_00_leaf.png,0.33,1086
1087_LeafPhotoA_2025-09-09 10_59_43.217-05_00_leaf.png,0.02,1087
1087_LeafPhotoA_2025-09-09 10_59_59.625-05_00_leaf.png,0.13,1087
1087_LeafPhotoA_2025-09-09 11_00_11.411-05_00_leaf.png,0.11,1087
1090_LeafPhotoA_2025-09-09 11_01_46.837-05_00_leaf.png,0.27,1090
1090_LeafPhotoA_2025-09-09 11_02_09.742-05_00_leaf.png,0.37,1090
1090_LeafPhotoA_2025-09-09 11_02_26.123-05_00_leaf.png,0.1,1090
1091_LeafPhotoA_2025-09-09 11_02_49.148-05_00_leaf.png,0.09,1091
1091_LeafPhotoA_2025-09-09 11_03_04.801-05_00_leaf.png,0.32,1091
1091_LeafPhotoA_2025-09-09 11_03_16.259-05_00_leaf.png,0.08,1091
1092_LeafPhotoA_2025-09-09 11_03_37.932-05_00_leaf.png,0.07,1092
1092_LeafPhotoA_2025-09-09 11_03_50.695-05_00_leaf.png,0.45,1092
1092_LeafPhotoA_2025-09-09 11_04_04.807-05_00_leaf.png,0.14,1092
