"S.No","Plot No","Accession","Replication","Population","height","color","lodging","flowering","insect damage","picture_test","Picture_fieldbook_default","plants","type","rust score","audio","location","gnss","GoPro","angle","Picture_android","notes","LeafPhoto1","LeafPhoto2","LeafPhoto3","LeafPhotoA","LeafPhotoNotesA","LeafPhotoB","LeafPhotoNotesB","LeafPhoto6"
"698","250061","PI 656104","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250061_LeafPhotoA_2025-10-01%2008_55_50.814-05_00.jpg",,,,
"352","250062","PI 561073","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250062_LeafPhotoA_2025-10-01%2008_53_37.138-05_00.jpg",,,,
"469","250063","PI 576350","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250063_LeafPhotoA_2025-10-01%2008_50_55.358-05_00.jpg","3 leaves from single plant",,,
"488","250064","PI 576418","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250064_LeafPhotoA_2025-10-01%2008_49_39.450-05_00.jpg",,,,
"275","250065","PI 533961","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"284","250066","PI 533980","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"288","250067","PI 533991","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"538","250068","PI 597965","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"681","250069","PI 656079","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"710","250070","PI 656118","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"674","250071","PI 656070","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"658","250072","PI 656047","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"625","250073","PI 656006","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"465","250074","PI 576340","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"327","250075","PI 534144","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"605","250076","PI 655983","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"477","250077","PI 576380","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"522","250078","PI 595741","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"341","250079","PI 540816","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"6","250080","PI 35038","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"257","250081","PI 533912","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"235","250082","PI 533839","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"266","250083","PI 533939","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"274","250084","PI 533957","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"541","250085","PI 597968","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"677","250086","PI 656074","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"660","250087","PI 656049","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"655","250088","PI 656043","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"676","250089","PI 656072","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"684","250090","PI 656085","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"693","250091","PI 656098","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"470","250092","PI 576352","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"664","250093","PI 656055","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"7","250094","PI 48770","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"678","250095","PI 656075","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"314","250096","PI 534116","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"331","250097","PI 534163","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"712","250098","PI 656120","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"697","250099","PI 656103","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"626","250100","PI 656007","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"495","250101","PI 576435","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"542","250102","PI 597971","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"305","250103","PI 534099","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"287","250104","PI 533989","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"628","250105","PI 656009","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"663","250106","PI 656053","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"604","250107","PI 655982","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"642","250108","PI 656028","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"535","250109","PI 597960","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"471","250110","PI 576359","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"255","250111","PI 533910","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"223","250112","PI 533789","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"285","250113","PI 533985","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"670","250114","PI 656064","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"639","250115","PI 656022","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"313","250116","PI 534115","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"607","250117","PI 655985","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"350","250118","PI 561071","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"572","250119","PI 641874","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
