"S.No","Plot No","Accession","Replication","Population","LeafPhoto1","LeafPhoto2","LeafPhoto3","LeafPhotoA","LeafPhotoNotesA","LeafPhotoB","LeafPhotoNotesB","LeafPhoto6"
"320","250619","PI 534128","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250619_LeafPhotoA_2025-10-03%2009_01_48.713-05_00.jpg",,,,
"314","250620","PI 534116","Rep 2","SAP",,,,,"dry and damage",,,
"705","250621","PI 656111","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250621_LeafPhotoA_2025-10-03%2009_24_25.798-05_00.jpg",,,,
"640","250622","PI 656023","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250622_LeafPhotoA_2025-10-03%2009_25_19.413-05_00.jpg",,,,
"658","250623","PI 656047","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250623_LeafPhotoA_2025-10-03%2009_26_08.709-05_00.jpg",,,,
"4","250624","PI 24969","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250624_LeafPhotoA_2025-10-03%2009_26_58.655-05_00.jpg",,,,
"327","250625","PI 534144","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250625_LeafPhotoA_2025-10-03%2009_27_42.296-05_00.jpg",,,,
"467","250626","PI 576347","Rep 2","SAP",,,,,"no plants",,,
"268","250627","PI 533943","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250627_LeafPhotoA_2025-10-03%2009_29_09.238-05_00.jpg",,,,
"604","250628","PI 655982","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250628_LeafPhotoA_2025-10-03%2009_30_05.951-05_00.jpg",,,,
"219","250629","PI 533766","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250629_LeafPhotoA_2025-10-03%2009_31_19.032-05_00.jpg",,,,
"280","250630","PI 533970","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250630_LeafPhotoA_2025-10-03%2009_32_15.030-05_00.jpg",,,,
"664","250631","PI 656055","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250631_LeafPhotoA_2025-10-03%2009_33_01.421-05_00.jpg",,,,
"309","250632","PI 534105","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250632_LeafPhotoA_2025-10-03%2009_34_06.310-05_00.jpg",,,,
"548","250633","PI 598069","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250633_LeafPhotoA_2025-10-03%2009_35_02.189-05_00.jpg",,,,
"636","250634","PI 656018","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250634_LeafPhotoA_2025-10-03%2009_35_52.077-05_00.jpg",,,,
"239","250635","PI 533845","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250635_LeafPhotoA_2025-10-03%2009_37_02.770-05_00.jpg",,,,
"591","250636","PI 653616","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250636_LeafPhotoA_2025-10-03%2009_55_11.599-05_00.jpg",,,,
"609","250637","PI 655988","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250637_LeafPhotoA_2025-10-03%2009_54_07.746-05_00.jpg",,,,
"398","250638","PI 566819","Rep 2","SAP",,,,,"no plants",,,
"482","250639","PI 576391","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250639_LeafPhotoA_2025-10-03%2009_52_15.812-05_00.jpg",,,,
"499","250640","PI 585295","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250640_LeafPhotoA_2025-10-03%2009_51_20.592-05_00.jpg",,,,
"485","250641","PI 576396","Rep 2","SAP",,,,,"dry damage",,,
"250","250642","PI 533878","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250642_LeafPhotoA_2025-10-03%2009_49_36.578-05_00.jpg",,,,
"317","250643","PI 534123","Rep 2","SAP",,,,,"dry and damage",,,
"471","250644","PI 576359","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250644_LeafPhotoA_2025-10-03%2009_45_48.415-05_00.jpg",,,,
"226","250645","PI 533799","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250645_LeafPhotoA_2025-10-03%2009_44_58.992-05_00.jpg",,,,
"265","250646","PI 533937","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250646_LeafPhotoA_2025-10-03%2009_43_56.549-05_00.jpg",,,,
"118","250647","PI 329440","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250647_LeafPhotoA_2025-10-03%2009_42_56.246-05_00.jpg",,,,
"312","250648","PI 534114","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250648_LeafPhotoA_2025-10-03%2009_42_00.345-05_00.jpg",,,,
"621","250649","PI 656001","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250649_LeafPhotoA_2025-10-03%2009_41_02.932-05_00.jpg",,,,
"618","250650","PI 655998","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250650_LeafPhotoA_2025-10-03%2009_40_10.615-05_00.jpg",,,,
"470","250651","PI 576352","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250651_LeafPhotoA_2025-10-03%2009_39_17.372-05_00.jpg",,,,
"596","250652","PI 655973","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250652_LeafPhotoA_2025-10-03%2010_14_53.024-05_00.jpg",,,,
"537","250653","PI 597964","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250653_LeafPhotoA_2025-10-03%2010_16_07.398-05_00.jpg",,,,
"220","250654","PI 533769","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250654_LeafPhotoA_2025-10-03%2010_17_24.147-05_00.jpg",,,,
"644","250655","PI 656031","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250655_LeafPhotoA_2025-10-03%2010_18_17.134-05_00.jpg",,,,
"524","250656","PI 595744","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250656_LeafPhotoA_2025-10-03%2010_19_01.632-05_00.jpg",,,,
"702","250657","PI 656108","Rep 2","SAP",,,,,"no plants",,,
"690","250658","PI 656095","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250658_LeafPhotoA_2025-10-03%2010_20_53.875-05_00.jpg",,,,
"478","250659","PI 576385","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250659_LeafPhotoA_2025-10-03%2010_21_52.934-05_00.jpg",,,,
"330","250660","PI 534157","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250660_LeafPhotoA_2025-10-03%2010_22_58.195-05_00.jpg",,,,
"692","250661","PI 656097","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250661_LeafPhotoA_2025-10-03%2010_23_48.020-05_00.jpg",,,,
"342","250662","PI 542406","Rep 2","SAP",,,,,"no plants",,,
"536","250663","PI 597961","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250663_LeafPhotoA_2025-10-03%2010_25_13.977-05_00.jpg",,,,
"331","250664","PI 534163","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250664_LeafPhotoA_2025-10-03%2010_26_04.698-05_00.jpg",,,,
"699","250665","PI 656105","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250665_LeafPhotoA_2025-10-03%2010_26_57.904-05_00.jpg",,,,
"713","250666","PI 656121","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250666_LeafPhotoA_2025-10-03%2010_27_48.786-05_00.jpg",,,,
"461","250667","PI 576130","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250667_LeafPhotoA_2025-10-03%2010_28_44.014-05_00.jpg",,,,
"612","250668","PI 655991","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250668_LeafPhotoA_2025-10-03%2010_44_39.215-05_00.jpg",,,,
"224","250669","PI 533792","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250669_LeafPhotoA_2025-10-03%2010_43_53.624-05_00.jpg",,,,
"285","250670","PI 533985","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250670_LeafPhotoA_2025-10-03%2010_42_44.170-05_00.jpg",,,,
"217","250671","PI 533760","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250671_LeafPhotoA_2025-10-03%2010_41_30.846-05_00.jpg",,,,
"266","250672","PI 533939","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250672_LeafPhotoA_2025-10-03%2010_40_25.996-05_00.jpg",,,,
"311","250673","PI 534112","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250673_LeafPhotoA_2025-10-03%2010_39_32.627-05_00.jpg",,,,
"5","250674","PI 34911","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250674_LeafPhotoA_2025-10-03%2010_38_36.217-05_00.jpg",,,,
"261","250675","PI 533921","Rep 2","SAP",,,,,"no plants",,,
"655","250676","PI 656043","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250676_LeafPhotoA_2025-10-03%2010_36_58.660-05_00.jpg",,,,
"697","250677","PI 656103","Rep 2","SAP",,,,,"dry ",,,
"629","250678","PI 656010","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250678_LeafPhotoA_2025-10-03%2010_35_13.955-05_00.jpg",,,,
"283","250679","PI 533979","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250679_LeafPhotoA_2025-10-03%2010_34_17.080-05_00.jpg",,,,
"605","250680","PI 655983","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250680_LeafPhotoA_2025-10-03%2010_32_58.401-05_00.jpg",,,,
"352","250681","PI 561073","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250681_LeafPhotoA_2025-10-03%2010_32_11.088-05_00.jpg",,,,
"275","250682","PI 533961","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250682_LeafPhotoA_2025-10-03%2010_31_14.062-05_00.jpg",,,,
"711","250683","PI 656119","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250683_LeafPhotoA_2025-10-03%2010_30_11.297-05_00.jpg",,,,
"650","250684","PI 656037","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250684_LeafPhotoA_2025-10-03%2010_45_48.572-05_00.jpg",,,,
"635","250685","PI 656017","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250685_LeafPhotoA_2025-10-03%2010_48_16.223-05_00.jpg",,,,
"542","250686","PI 597971","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250686_LeafPhotoA_2025-10-03%2010_49_10.491-05_00.jpg",,,,
"215","250687","PI 533758","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250687_LeafPhotoA_2025-10-03%2010_50_39.696-05_00.jpg",,,,
"546","250688","PI 597980","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250688_LeafPhotoA_2025-10-03%2010_51_34.593-05_00.jpg",,,,
"608","250689","PI 655986","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250689_LeafPhotoA_2025-10-03%2010_52_17.773-05_00.jpg",,,,
"287","250690","PI 533989","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250690_LeafPhotoA_2025-10-03%2010_53_08.824-05_00.jpg",,,,
"397","250691","PI 565121","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250691_LeafPhotoA_2025-10-03%2010_53_57.049-05_00.jpg",,,,
"526","250692","PI 597945","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250692_LeafPhotoA_2025-10-03%2010_54_55.931-05_00.jpg",,,,
"477","250693","PI 576380","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250693_LeafPhotoA_2025-10-03%2010_55_48.466-05_00.jpg",,,,
"305","250694","PI 534099","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250694_LeafPhotoA_2025-10-03%2010_56_34.829-05_00.jpg",,,,
"116","250695","PI329403","Rep 1","BAP",,,,,,,,
"369","250696","PI562971","Rep 1","BAP",,,,,,,,
"185","250697","PI455217","Rep 1","BAP",,,,,,,,
"174","250698","PI330858","Rep 1","BAP",,,,,,,,
"21","250699","PI152728","Rep 1","BAP",,,,,,,,
"402","250700","PI569148","Rep 1","BAP",,,,,,,,
"161","250701","PI330168","Rep 1","BAP",,,,,,,,
"574","250702","PI641909","Rep 1","BAP",,,,,,,,
"420","250703","PI569447","Rep 1","BAP",,,,,,,,
"132","250704","PI329545","Rep 1","BAP",,,,,,,,
"100","250705","PI300117","Rep 1","BAP",,,,,,,,
"377","250706","PI563002","Rep 1","BAP",,,,,,,,
"97","250707","PI297130","Rep 1","BAP",,,,,,,,
"170","250708","PI330796","Rep 1","BAP",,,,,,,,
"106","250709","PI329299","Rep 1","BAP",,,,,,,,
"133","250710","PI329546","Rep 1","BAP",,,,,,,,
"510","250711","PI586435","Rep 1","BAP",,,,,,,,
"455","250712","PI570373","Rep 1","BAP",,,,,,,,
"207","250713","PI524475","Rep 1","BAP",,,,,,,,
"51","250714","PI156326","Rep 1","BAP",,,,,,,,
"8","250715","PI52606","Rep 1","BAP",,,,,,,,
"135","250716","PI329551","Rep 1","BAP",,,,,,,,
"91","250717","PI266927","Rep 1","BAP",,,,,,,,
"149","250718","PI329646","Rep 1","BAP",,,,,,,,
"594","250719","PI655972","Rep 1","BAP",,,,,,,,
"558","250720","PI641810","Rep 1","BAP",,,,,,,,
"140","250721","PI329584","Rep 1","BAP",,,,,,,,
"424","250722","PI569455","Rep 1","BAP",,,,,,,,
"109","250723","PI329301","Rep 1","BAP",,,,,,,,
"19","250724","PI152694","Rep 1","BAP",,,,,,,,
"55","250725","PI156487","Rep 1","BAP",,,,,,,,
"415","250726","PI569435","Rep 1","BAP",,,,,,,,
"452","250727","PI570145","Rep 1","BAP",,,,,,,,
"580","250728","PI646242","Rep 1","BAP",,,,,,,,
"150","250729","PI329665","Rep 1","BAP",,,,,,,,
"180","250730","PI452619","Rep 1","BAP",,,,,,,,
"125","250731","PI329506","Rep 1","BAP",,,,,,,,
"379","250732","PI563009","Rep 1","BAP",,,,,,,,
"181","250733","PI452692","Rep 1","BAP",,,,,,,,
"75","250734","PI196598","Rep 1","BAP",,,,,,,,
"430","250735","PI569465","Rep 1","BAP",,,,,,,,
"581","250736","PI646251","Rep 1","BAP",,,,,,,,
"54","250737","PI156463","Rep 1","BAP",,,,,,,,
"80","250738","PI221651","Rep 1","BAP",,,,,,,,
"421","250739","PI569452","Rep 1","BAP",,,,,,,,
"169","250740","PI330199","Rep 1","BAP",,,,,,,,
"77","250741","PI213900","Rep 1","BAP",,,,,,,,
"390","250742","PI563338","Rep 1","BAP",,,,,,,,
"99","250743","PI297171","Rep 1","BAP",,,,,,,,
"433","250744","PI570038","Rep 1","BAP",,,,,,,,
"407","250745","PI569419","Rep 1","BAP",,,,,,,,
"164","250746","PI330184","Rep 1","BAP",,,,,,,,
"428","250747","PI569460","Rep 1","BAP",,,,,,,,
"110","250748","PI329310","Rep 1","BAP",,,,,,,,
"42","250749","PI154988","Rep 1","BAP",,,,,,,,
"90","250750","PI257600","Rep 1","BAP",,,,,,,,
"565","250751","PI641834","Rep 1","BAP",,,,,,,,
"32","250752","PI152965","Rep 1","BAP",,,,,,,,
"196","250753","PI506122","Rep 1","BAP",,,,,,,,
"450","250754","PI570110","Rep 1","BAP",,,,,,,,
"210","250755","PI527045","Rep 1","BAP",,,,,,,,
"187","250756","PI455280","Rep 1","BAP",,,,,,,,
"50","250757","PI156268","Rep 1","BAP",,,,,,,,
"566","250758","PI641835","Rep 1","BAP",,,,,,,,
"40","250759","PI154944","Rep 1","BAP",,,,,,,,
"383","250760","PI563032","Rep 1","BAP",,,,,,,,
"31","250761","PI152963","Rep 1","BAP",,,,,,,,
"346","250762","PI550604","Rep 1","BAP",,,,,,,,
"64","250763","PI175919","Rep 1","BAP",,,,,,,,
"404","250764","PI569264","Rep 1","BAP",,,,,,,,
"17","250765","PI147224","Rep 1","BAP",,,,,,,,
"88","250766","PI255744","Rep 1","BAP",,,,,,,,
"173","250767","PI330833","Rep 1","BAP",,,,,,,,
"366","250768","PI562897","Rep 1","BAP",,,,,,,,
"368","250769","PI562970","Rep 1","BAP",,,,,,,,
"49","250770","PI156217","Rep 1","BAP",,,,,,,,
"156","250771","PI329841","Rep 1","BAP",,,,,,,,
"204","250772","PI521152","Rep 1","BAP",,,,,,,,
"94","250773","PI273969","Rep 1","BAP",,,,,,,,
"12","250774","PI145619","Rep 1","BAP",,,,,,,,
"30","250775","PI152961","Rep 1","BAP",,,,,,,,
"152","250776","PI329699","Rep 1","BAP",,,,,,,,
"154","250777","PI329710","Rep 1","BAP",,,,,,,,
"432","250778","PI570031","Rep 1","BAP",,,,,,,,
"356","250779","PI561840","Rep 1","BAP",,,,,,,,
"505","250780","PI585467","Rep 1","BAP",,,,,,,,
"332","250781","PI534165","Rep 1","BAP",,,,,,,,
"497","250782","PI583832","Rep 1","BAP",,,,,,,,
"560","250783","PI641817","Rep 1","BAP",,,,,,,,
"36","250784","PI153877","Rep 1","BAP",,,,,,,,
"437","250785","PI570053","Rep 1","BAP",,,,,,,,
"385","250786","PI563295","Rep 1","BAP",,,,,,,,
"29","250787","PI152923","Rep 1","BAP",,,,,,,,
"26","250788","PI152828","Rep 1","BAP",,,,,,,,
"590","250789","PI651497","Rep 1","BAP",,,,,,,,
"66","250790","PI179749","Rep 1","BAP",,,,,,,,
"585","250791","PI651491","Rep 1","BAP",,,,,,,,
"139","250792","PI329583","Rep 1","BAP",,,,,,,,
"119","250793","PI329465","Rep 1","BAP",,,,,,,,
"459","250794","PI570431","Rep 1","BAP",,,,,,,,
"511","250795","PI586443","Rep 1","BAP",,,,,,,,
"202","250796","PI513898","Rep 1","BAP",,,,,,,,
"16","250797","PI146890","Rep 1","BAP",,,,,,,,
"501","250798","PI585448","Rep 1","BAP",,,,,,,,
"557","250799","PI641807","Rep 1","BAP",,,,,,,,
"206","250800","PI521290","Rep 1","BAP",,,,,,,,
"189","250801","PI455307","Rep 1","BAP",,,,,,,,
"388","250802","PI563331","Rep 1","BAP",,,,,,,,
"101","250803","PI300118","Rep 1","BAP",,,,,,,,
"137","250804","PI329569","Rep 1","BAP",,,,,,,,
"443","250805","PI570085","Rep 1","BAP",,,,,,,,
"316","250806","PI534120","Rep 1","BAP",,,,,,,,
"20","250807","PI152727","Rep 1","BAP",,,,,,,,
"191","250808","PI505722","Rep 1","BAP",,,,,,,,
"105","250809","PI329286","Rep 1","BAP",,,,,,,,
"194","250810","PI506069","Rep 1","BAP",,,,,,,,
"53","250811","PI156393","Rep 1","BAP",,,,,,,,
"111","250812","PI329319","Rep 1","BAP",,,,,,,,
"436","250813","PI570047","Rep 1","BAP",,,,,,,,
"41","250814","PI154987","Rep 1","BAP",,,,,,,,
"22","250815","PI152730","Rep 1","BAP",,,,,,,,
"503","250816","PI585454","Rep 1","BAP",,,,,,,,
"418","250817","PI569445","Rep 1","BAP",,,,,,,,
"126","250818","PI329510","Rep 1","BAP",,,,,,,,
"138","250819","PI329570","Rep 1","BAP",,,,,,,,
"553","250820","PI619838","Rep 1","BAP",,,,,,,,
"163","250821","PI330181","Rep 1","BAP",,,,,,,,
"423","250822","PI569454","Rep 1","BAP",,,,,,,,
"184","250823","PI453696","Rep 1","BAP",,,,,,,,
"142","250824","PI329614","Rep 1","BAP",,,,,,,,
"175","250825","PI337680","Rep 1","BAP",,,,,,,,
"114","250826","PI329338","Rep 1","BAP",,,,,,,,
"124","250827","PI329501","Rep 1","BAP",,,,,,,,
"571","250828","PI641862","Rep 1","BAP",,,,,,,,
"177","250829","PI365512","Rep 1","BAP",,,,,,,,
