"S.No","Plot No","Accession","Replication","Population","trait","value","timestamp","person","location","number","device_name"
"187","250756","PI455280","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250756_LeafPhotoA_2025-10-07%2014_08_36.095-05_00.jpg","2025-10-07 14:08:38.110-05:00"," ","","2","SM-A166U1"
"187","250756","PI455280","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250756_LeafPhotoA_2025-10-07%2014_08_59.482-05_00.jpg","2025-10-07 14:09:01.488-05:00"," ","","3","SM-A166U1"
"50","250757","PI156268","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250757_LeafPhotoA_2025-10-07%2014_06_59.368-05_00.jpg","2025-10-07 14:07:01.583-05:00"," ","","1","SM-A166U1"
"50","250757","PI156268","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250757_LeafPhotoA_2025-10-07%2014_07_15.975-05_00.jpg","2025-10-07 14:07:18.063-05:00"," ","","2","SM-A166U1"
"50","250757","PI156268","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250757_LeafPhotoA_2025-10-07%2014_07_46.155-05_00.jpg","2025-10-07 14:07:48.088-05:00"," ","","3","SM-A166U1"
"566","250758","PI641835","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250758_LeafPhotoA_2025-10-07%2014_05_41.883-05_00.jpg","2025-10-07 14:05:44.081-05:00"," ","","1","SM-A166U1"
"566","250758","PI641835","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250758_LeafPhotoA_2025-10-07%2014_06_02.236-05_00.jpg","2025-10-07 14:06:04.250-05:00"," ","","2","SM-A166U1"
"566","250758","PI641835","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250758_LeafPhotoA_2025-10-07%2014_06_19.486-05_00.jpg","2025-10-07 14:06:21.670-05:00"," ","","3","SM-A166U1"
"40","250759","PI154944","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250759_LeafPhotoA_2025-10-07%2014_26_39.005-05_00.jpg","2025-10-07 14:26:41.231-05:00"," ","","1","SM-A166U1"
"40","250759","PI154944","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250759_LeafPhotoA_2025-10-07%2014_26_54.193-05_00.jpg","2025-10-07 14:26:56.298-05:00"," ","","2","SM-A166U1"
"40","250759","PI154944","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250759_LeafPhotoA_2025-10-07%2014_27_11.768-05_00.jpg","2025-10-07 14:27:13.787-05:00"," ","","3","SM-A166U1"
