cluster025,axis_id,severity_related,severity_class,cluster_type,n_embeddings,n_loci,has_validated_locus,has_validated_or_proposed_locus,median_max_abs_severity_r,max_abs_severity_r,axis_spearman_abs_r_with_human_exg_anchor,axis_orientation,example_embeddings,reported_candidate_genes
76,cluster025_76,True,severity_correlated,multi_trait,2,3,False,False,0.552951943250751,0.5672666506255185,0.6205135672739611,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_337;embedding_mean_616,
77,cluster025_77,False,not_severity_correlated,multi_trait,3,6,False,False,0.1010616621959863,0.115109738387373,0.04083720875161565,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_674;embedding_std_823;embedding_std_828,
78,cluster025_78,False,not_severity_correlated,singleton,1,2,False,False,0.3137574476839309,0.3137574476839309,0.26725201288533595,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_861,
79,cluster025_79,False,not_severity_correlated,singleton,1,3,False,False,0.3055014140044548,0.3055014140044548,0.30023010107458825,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_285,
80,cluster025_80,True,severity_correlated,singleton,1,1,False,False,0.5246520459239279,0.5246520459239279,0.513154628617352,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_181,
81,cluster025_81,True,severity_correlated,singleton,1,1,False,False,0.484231491514372,0.484231491514372,0.4826717999662459,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_163,
82,cluster025_82,True,severity_correlated,multi_trait,2,2,False,False,0.4105566267843393,0.6204592372125909,0.34747202941188765,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_26;embedding_std_968,
83,cluster025_83,False,not_severity_correlated,multi_trait,2,2,False,False,0.2896325384511636,0.2915027530005214,0.3505987567891775,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_18;embedding_std_962,
84,cluster025_84,False,not_severity_correlated,multi_trait,2,4,False,False,0.143445043129849,0.1785106825422432,0.16783026482755575,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_267;embedding_std_938,
85,cluster025_85,False,not_severity_correlated,singleton,1,2,False,False,0.2499148135921554,0.2499148135921554,0.2579132273305945,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_108,
86,cluster025_86,True,severity_correlated,multi_trait,2,2,False,False,0.3547411736667226,0.5036256691069243,0.4884928772819266,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_172;embedding_std_935,
87,cluster025_87,False,not_severity_correlated,multi_trait,2,4,False,False,0.073902602253484,0.1187654848643418,0.06431892013206439,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_628;embedding_std_929,
88,cluster025_88,False,not_severity_correlated,multi_trait,2,2,False,False,0.3552325601441188,0.3974948956098898,0.3875324646319817,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_287;embedding_std_922,
89,cluster025_89,False,not_severity_correlated,multi_trait,2,3,False,False,0.1457028282492181,0.1855702236175577,0.03725741101627714,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_618;embedding_std_904,
90,cluster025_90,False,not_severity_correlated,multi_trait,2,2,False,False,0.1126907195592873,0.1831125188695617,0.09386121903816713,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_276;embedding_std_885,
91,cluster025_91,False,not_severity_correlated,multi_trait,2,3,False,False,0.2297851371078497,0.2358001467691235,0.2535066890052969,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_826;embedding_std_840,
92,cluster025_92,False,not_severity_correlated,multi_trait,3,3,False,False,0.3840032831972624,0.4255261691387434,0.43393154066321016,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_335;embedding_std_344;embedding_std_837,
93,cluster025_93,False,not_severity_correlated,multi_trait,2,3,False,False,0.1920776822880967,0.1943712197201566,0.2732974367597362,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_388;embedding_std_810,
94,cluster025_94,False,not_severity_correlated,singleton,1,2,False,False,0.2857186025695172,0.2857186025695172,0.2553486601079209,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_207,
95,cluster025_95,False,not_severity_correlated,singleton,1,4,False,False,0.2696389431925134,0.2696389431925134,0.25880093583674557,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_776,
96,cluster025_96,False,not_severity_correlated,multi_trait,2,4,False,False,0.037731669248551,0.0544355611705607,0.0015907198367098548,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_286;embedding_std_751,
97,cluster025_97,False,not_severity_correlated,multi_trait,2,3,False,False,0.1998891679816382,0.3281232499104882,0.22977310965819625,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_1019;embedding_std_721,
98,cluster025_98,False,not_severity_correlated,multi_trait,3,3,False,False,0.1395632639134475,0.3088571654315737,0.15611982329893678,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_136;embedding_std_359;embedding_std_413,
99,cluster025_99,False,not_severity_correlated,multi_trait,2,2,False,False,0.2002084566500464,0.2736282368653831,0.0802532772628588,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_140;embedding_std_362,
100,cluster025_100,False,not_severity_correlated,multi_trait,3,4,False,False,0.1408989357954252,0.4198588979011041,0.3136718371114201,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_0;embedding_std_70;embedding_std_292,
101,cluster025_101,False,not_severity_correlated,multi_trait,3,3,False,False,0.3373418521427768,0.4811793153584499,0.4051557725534781,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_142;embedding_mean_754;embedding_std_266,
102,cluster025_102,False,not_severity_correlated,multi_trait,2,2,False,False,0.1271336738217039,0.1304735849475032,0.019322271740273775,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_98;embedding_std_177,
103,cluster025_103,False,not_severity_correlated,multi_trait,2,2,False,False,0.1264761987778116,0.1857758507333751,0.07549865395564821,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_700;embedding_std_167,
104,cluster025_104,True,severity_correlated,multi_trait,2,3,False,False,0.2815679903883962,0.4970697906001693,0.36073419060394285,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_908;embedding_std_156,
105,cluster025_105,False,not_severity_correlated,multi_trait,3,4,False,False,0.2096796044484512,0.2407082243706253,0.1103474406098903,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_199;embedding_mean_419;embedding_mean_806,
106,cluster025_106,False,not_severity_correlated,singleton,1,2,False,False,0.2843169257526478,0.2843169257526478,0.2499047060998704,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_424,
107,cluster025_107,False,not_severity_correlated,multi_trait,2,3,False,False,0.1997169080713822,0.2116044290934646,0.009554110550855909,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_412;embedding_mean_778,
108,cluster025_108,False,not_severity_correlated,multi_trait,2,2,False,False,0.0763009676293364,0.0861660587859548,0.05631993305704899,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_143;embedding_mean_604,
