"Variety Name","Plot Number","Block","LeafPhotoA","LeafPhotoNotes"
"Check","20202","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20202_LeafPhotoA_2025-10-23%2011_21_53.935-05_00.jpg",
"18NL048 @-01","20203","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20203_LeafPhotoA_2025-10-23%2011_23_07.078-05_00.jpg",
"Check","20204","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20204_LeafPhotoA_2025-10-23%2011_25_10.465-05_00.jpg",
"RTX435","20205","2",,"missing"
"SAP-225","20206","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20206_LeafPhotoA_2025-10-23%2011_27_02.879-05_00.jpg",
"R9188","20207","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20207_LeafPhotoA_2025-10-23%2011_28_17.768-05_00.jpg",
"Check","20208","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20208_LeafPhotoA_2025-10-23%2011_29_56.488-05_00.jpg",
"SC 748-5","20209","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20209_LeafPhotoA_2025-10-23%2011_30_41.344-05_00.jpg",
"SAP-294","20210","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20210_LeafPhotoA_2025-10-23%2011_31_55.947-05_00.jpg",
"SURENO","20211","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20211_LeafPhotoA_2025-10-23%2011_32_33.285-05_00.jpg",
"Check","20212","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20212_LeafPhotoA_2025-10-23%2011_33_19.554-05_00.jpg",
"SEPON82","20213","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20213_LeafPhotoA_2025-10-23%2011_34_05.374-05_00.jpg",
"SAP-166","20214","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20214_LeafPhotoA_2025-10-23%2011_34_43.634-05_00.jpg",
"Check","20215","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20215_LeafPhotoA_2025-10-23%2011_35_45.830-05_00.jpg",
"Check","20216","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20216_LeafPhotoA_2025-10-23%2011_36_36.990-05_00.jpg",
"Check","20217","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20217_LeafPhotoA_2025-10-23%2011_37_44.819-05_00.jpg",
"SC 1451","20218","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20218_LeafPhotoA_2025-10-23%2011_39_12.090-05_00.jpg",
"BE 25","20219","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20219_LeafPhotoA_2025-10-23%2011_40_13.147-05_00.jpg",
"IS 18684","20220","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20220_LeafPhotoA_2025-10-23%2011_41_10.635-05_00.jpg",
"Klor","20221","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20221_LeafPhotoA_2025-10-23%2011_42_07.435-05_00.jpg",
"SAP-395","20222","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20222_LeafPhotoA_2025-10-23%2011_42_54.435-05_00.jpg",
"A-106","20223","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20223_LeafPhotoA_2025-10-23%2011_44_55.572-05_00.jpg",
"SAP-323","20224","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20224_LeafPhotoA_2025-10-23%2011_45_46.245-05_00.jpg",
"Check","20225","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20225_LeafPhotoA_2025-10-23%2011_47_03.889-05_00.jpg",
"TX 399(DALHART RES WHTLND)B LN","20226","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20226_LeafPhotoA_2025-10-23%2011_48_35.550-05_00.jpg",
"Check","20227","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20227_LeafPhotoA_2025-10-23%2011_49_36.615-05_00.jpg",
"Check","20301","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20301_LeafPhotoA_2025-10-23%2011_53_11.360-05_00.jpg",
