image_path,segmentation_method
data/aamu2025/block2/21104_LeafPhotoA_2025-10-24 11_33_27.516-05_00.jpg,CV2
data/aamu2025/block2/21617_LeafPhotoA_2025-10-24 15_53_38.635-05_00.jpg,CV2
data/aamu2025/block2/21320_LeafPhotoA_2025-10-24 14_35_19.190-05_00.jpg,CV2
data/aamu2025/block2/20424_LeafPhotoA_2025-10-23 14_22_04.172-05_00.jpg,CV2
data/aamu2025/block2/20424_LeafPhotoA_2025-10-23 14_22_32.037-05_00.jpg,CV2
data/aamu2025/block2/20901_LeafPhotoA_2025-10-24 10_20_36.058-05_00.jpg,CV2
data/aamu2025/block2/20121_LeafPhotoA_2025-10-23 11_07_17.231-05_00.jpg,CV2
data/aamu2025/block2/20916_LeafPhotoA_2025-10-24 10_43_00.140-05_00.jpg,CV2
data/aamu2025/block2/20515_LeafPhotoA_2025-10-23 14_34_05.789-05_00.jpg,CV2
data/aamu2025/block2/20325_LeafPhotoA_2025-10-23 12_19_13.863-05_00.jpg,CV2
data/aamu2025/block2/20111_LeafPhotoA_2025-10-23 10_53_58.908-05_00.jpg,CV2
data/aamu2025/block2/20708_LeafPhotoA_2025-10-23 16_03_20.393-05_00.jpg,CV2
data/aamu2025/block2/20210_LeafPhotoA_2025-10-23 11_31_55.947-05_00.jpg,CV2
data/aamu2025/block2/20101_LeafPhotoA_2025-10-23 10_42_30.913-05_00.jpg,CV2
data/aamu2025/block2/20103_LeafPhotoA_2025-10-23 10_44_38.883-05_00.jpg,CV2
data/aamu2025/block2/21509_LeafPhotoA_2025-10-24 15_17_17.377-05_00.jpg,CV2
data/aamu2025/block2/20121_LeafPhotoA_2025-10-23 11_07_04.780-05_00.jpg,CV2
data/aamu2025/block2/21120_LeafPhotoA_2025-10-24 11_46_56.035-05_00.jpg,CV2
data/aamu2025/block2/20419_LeafPhotoA_2025-10-23 14_11_14.760-05_00.jpg,CV2
data/aamu2025/block2/20112_LeafPhotoA_2025-10-23 10_56_43.907-05_00.jpg,CV2
data/aamu2025/block2/20921_LeafPhotoA_2025-10-24 10_50_41.058-05_00.jpg,CV2
data/aamu2025/block2/20319_LeafPhotoA_2025-10-23 12_14_05.178-05_00.jpg,CV2
data/aamu2025/block2/20405_LeafPhotoA_2025-10-23 14_00_34.088-05_00.jpg,CV2
data/aamu2025/block2/20403_LeafPhotoA_2025-10-23 13_58_53.281-05_00.jpg,CV2
data/aamu2025/block2/20325_LeafPhotoA_2025-10-23 12_19_26.576-05_00.jpg,CV2
data/aamu2025/block2/20816_LeafPhotoA_2025-10-24 10_02_07.144-05_00.jpg,CV2
data/aamu2025/block2/21103_LeafPhotoA_2025-10-24 11_31_26.369-05_00.jpg,CV2
data/aamu2025/block2/20613_LeafPhotoA_2025-10-23 14_53_39.741-05_00.jpg,CV2
data/aamu2025/block2/20105_LeafPhotoA_2025-10-23 10_46_05.969-05_00.jpg,CV2
data/aamu2025/block2/20808_LeafPhotoA_2025-10-24 09_55_16.425-05_00.jpg,CV2
data/aamu2025/block2/21405_LeafPhotoA_2025-10-24 14_46_18.008-05_00.jpg,CV2
data/aamu2025/block2/20313_LeafPhotoA_2025-10-23 12_07_58.956-05_00.jpg,CV2
data/aamu2025/block2/20401_LeafPhotoA_2025-10-23 13_56_39.523-05_00.jpg,CV2
data/aamu2025/block2/21517_LeafPhotoA_2025-10-24 15_22_11.917-05_00.jpg,CV2
data/aamu2025/block2/20204_LeafPhotoA_2025-10-23 11_24_48.706-05_00.jpg,CV2
data/aamu2025/block2/20806_LeafPhotoA_2025-10-24 09_53_07.653-05_00.jpg,CV2
data/aamu2025/block2/20207_LeafPhotoA_2025-10-23 11_28_06.081-05_00.jpg,CV2
data/aamu2025/block2/20620_LeafPhotoA_2025-10-23 15_00_41.945-05_00.jpg,Failed
data/aamu2025/block2/21120_LeafPhotoA_2025-10-24 11_47_13.423-05_00.jpg,CV2
data/aamu2025/block2/21219_LeafPhotoA_2025-10-24 12_11_58.658-05_00.jpg,CV2
data/aamu2025/block2/20120_LeafPhotoA_2025-10-23 11_06_22.528-05_00.jpg,CV2
data/aamu2025/block2/20214_LeafPhotoA_2025-10-23 11_34_36.006-05_00.jpg,CV2
data/aamu2025/block2/20222_LeafPhotoA_2025-10-23 11_42_35.946-05_00.jpg,CV2
data/aamu2025/block2/20618_LeafPhotoA_2025-10-23 14_58_45.785-05_00.jpg,CV2
data/aamu2025/block2/20123_LeafPhotoA_2025-10-23 11_08_41.417-05_00.jpg,CV2
data/aamu2025/block2/20610_LeafPhotoA_2025-10-23 14_50_49.550-05_00.jpg,CV2
data/aamu2025/block2/21601_LeafPhotoA_2025-10-24 15_31_58.051-05_00.jpg,CV2
data/aamu2025/block2/20211_LeafPhotoA_2025-10-23 11_32_23.638-05_00.jpg,CV2
data/aamu2025/block2/20620_LeafPhotoA_2025-10-23 15_00_54.446-05_00.jpg,CV2
data/aamu2025/block2/20314_LeafPhotoA_2025-10-23 12_09_11.461-05_00.jpg,CV2
data/aamu2025/block2/21421_LeafPhotoA_2025-10-24 14_57_50.126-05_00.jpg,CV2
data/aamu2025/block2/21303_LeafPhotoA_2025-10-24 14_13_12.074-05_00.jpg,CV2
data/aamu2025/block2/21301_LeafPhotoA_2025-10-24 14_11_48.243-05_00.jpg,CV2
