image_path,ExG_P20_disease_pct
10324_LeafPhotoA_2025-10-23 10_09_44.978-05_00_leaf.png,0
10325_LeafPhotoA_2025-10-23 10_10_16.742-05_00_leaf.png,10.33
10325_LeafPhotoA_2025-10-23 10_10_24.266-05_00_leaf.png,4.19
10325_LeafPhotoA_2025-10-23 10_10_35.765-05_00_leaf.png,18.53
10401_LeafPhotoA_2025-10-23 14_14_43.457-05_00_leaf.png,0.4
10401_LeafPhotoA_2025-10-23 14_15_06.638-05_00_leaf.png,0.21
10401_LeafPhotoA_2025-10-23 14_15_29.042-05_00_leaf.png,8.4
10402_LeafPhotoA_2025-10-23 14_16_29.990-05_00_leaf.png,34.72
10402_LeafPhotoA_2025-10-23 14_16_47.632-05_00_leaf.png,49.2
10402_LeafPhotoA_2025-10-23 14_17_04.343-05_00_leaf.png,34.94
10402_LeafPhotoA_2025-10-23 14_18_09.396-05_00_leaf.png,57.85
10404_LeafPhotoA_2025-10-23 14_19_59.534-05_00_leaf.png,5.57
10404_LeafPhotoA_2025-10-23 14_20_13.221-05_00_leaf.png,3.27
10404_LeafPhotoA_2025-10-23 14_20_35.958-05_00_leaf.png,1.07
10405_LeafPhotoA_2025-10-23 14_21_09.008-05_00_leaf.png,2.12
10405_LeafPhotoA_2025-10-23 14_21_32.825-05_00_leaf.png,1.86
10405_LeafPhotoA_2025-10-23 14_21_58.543-05_00_leaf.png,2.24
10406_LeafPhotoA_2025-10-23 14_22_39.670-05_00_leaf.png,5.25
10406_LeafPhotoA_2025-10-23 14_23_05.516-05_00_leaf.png,2.24
10406_LeafPhotoA_2025-10-23 14_23_21.950-05_00_leaf.png,4.17
10407_LeafPhotoA_2025-10-23 14_24_13.745-05_00_leaf.png,7.86
10407_LeafPhotoA_2025-10-23 14_24_27.781-05_00_leaf.png,11.54
10407_LeafPhotoA_2025-10-23 14_24_42.081-05_00_leaf.png,13.1
10408_LeafPhotoA_2025-10-23 14_25_15.767-05_00_leaf.png,14.83
10408_LeafPhotoA_2025-10-23 14_25_36.298-05_00_leaf.png,51.77
10408_LeafPhotoA_2025-10-23 14_25_51.798-05_00_leaf.png,22.87
10409_LeafPhotoA_2025-10-23 14_26_26.910-05_00_leaf.png,0.58
10409_LeafPhotoA_2025-10-23 14_26_41.975-05_00_leaf.png,7.71
10409_LeafPhotoA_2025-10-23 14_27_00.554-05_00_leaf.png,0
10410_LeafPhotoA_2025-10-23 14_27_31.198-05_00_leaf.png,17.14
10410_LeafPhotoA_2025-10-23 14_27_46.362-05_00_leaf.png,22.45
10410_LeafPhotoA_2025-10-23 14_28_23.573-05_00_leaf.png,61.8
10412_LeafPhotoA_2025-10-23 14_29_07.058-05_00_leaf.png,40.15
10412_LeafPhotoA_2025-10-23 14_29_24.615-05_00_leaf.png,17.51
10412_LeafPhotoA_2025-10-23 14_29_49.221-05_00_leaf.png,7.24
10413_LeafPhotoA_2025-10-23 14_30_43.913-05_00_leaf.png,0
10413_LeafPhotoA_2025-10-23 14_31_07.967-05_00_leaf.png,8.9
10413_LeafPhotoA_2025-10-23 14_31_26.015-05_00_leaf.png,13.75
10414_LeafPhotoA_2025-10-23 14_32_51.927-05_00_leaf.png,0.8
10414_LeafPhotoA_2025-10-23 14_33_14.306-05_00_leaf.png,0
10414_LeafPhotoA_2025-10-23 14_33_44.917-05_00_leaf.png,0.08
10415_LeafPhotoA_2025-10-23 14_34_25.723-05_00_leaf.png,5.46
10415_LeafPhotoA_2025-10-23 14_34_58.751-05_00_leaf.png,16.67
10415_LeafPhotoA_2025-10-23 14_35_26.046-05_00_leaf.png,7.39
10416_LeafPhotoA_2025-10-23 14_36_08.888-05_00_leaf.png,2.79
10416_LeafPhotoA_2025-10-23 14_36_29.183-05_00_leaf.png,14.39
