image_path,segmentation_method
data/fvsu2025/bap2/250307_LeafPhotoA_2025-10-01 14_31_24.075-05_00.jpg,CV2
data/fvsu2025/bap2/250526_LeafPhotoA_2025-10-03 09_15_41.150-05_00.jpg,CV2
data/fvsu2025/bap2/251363_LeafPhotoA_2025-10-10 14_12_45.243-05_00.jpg,CV2
data/fvsu2025/bap2/250584_LeafPhotoA_2025-10-03 10_26_46.030-05_00.jpg,CV2
data/fvsu2025/bap2/250236_LeafPhotoA_2025-10-01 09_52_21.768-05_00.jpg,CV2
data/fvsu2025/bap2/250756_LeafPhotoA_2025-10-07 14_08_59.482-05_00.jpg,CV2
data/fvsu2025/bap2/251302_LeafPhotoA_2025-10-10 13_48_01.572-05_00.jpg,CV2
data/fvsu2025/bap2/250007_LeafPhotoA_2025-10-01 08_35_26.547-05_00.jpg,CV2
data/fvsu2025/bap2/251332_LeafPhotoA_2025-10-10 10_32_58.771-05_00.jpg,CV2
data/fvsu2025/bap2/250007_LeafPhotoA_2025-10-01 08_35_44.605-05_00.jpg,CV2
data/fvsu2025/bap2/250402_LeafPhotoA_2025-10-02 10_21_09.864-05_00.jpg,CV2
data/fvsu2025/bap2/250292_LeafPhotoA_2025-10-01 14_00_33.622-05_00.jpg,CV2
data/fvsu2025/bap2/251050_LeafPhotoA_2025-10-08 13_53_13.818-05_00.jpg,CV2
data/fvsu2025/bap2/250959_LeafPhotoA_2025-10-08 09_06_45.593-05_00.jpg,CV2
data/fvsu2025/bap2/251361_LeafPhotoA_2025-10-10 14_12_04.513-05_00.jpg,CV2
data/fvsu2025/bap2/250523_LeafPhotoA_2025-10-03 08_53_32.156-05_00.jpg,CV2
data/fvsu2025/bap2/251349_LeafPhotoA_2025-10-10 10_57_45.805-05_00.jpg,CV2
data/fvsu2025/bap2/250425_LeafPhotoA_2025-10-02 13_44_41.019-05_00.jpg,CV2
data/fvsu2025/bap2/250073_LeafPhotoA_2025-10-01 09_08_57.961-05_00.jpg,CV2
data/fvsu2025/bap2/250419_LeafPhotoA_2025-10-02 13_36_43.406-05_00.jpg,CV2
data/fvsu2025/bap2/250975_LeafPhotoA_2025-10-08 09_36_29.153-05_00.jpg,CV2
data/fvsu2025/bap2/250307_LeafPhotoA_2025-10-01 14_31_54.489-05_00.jpg,CV2
data/fvsu2025/bap2/250947_LeafPhotoA_2025-10-08 08_50_49.649-05_00.jpg,CV2
data/fvsu2025/bap2/250242_LeafPhotoA_2025-10-01 10_29_27.574-05_00.jpg,CV2
data/fvsu2025/bap2/250076_LeafPhotoA_2025-10-01 08_59_51.984-05_00.jpg,CV2
data/fvsu2025/bap2/250487_LeafPhotoA_2025-10-02 14_34_06.568-05_00.jpg,CV2
data/fvsu2025/bap2/250501_LeafPhotoA_2025-10-03 08_46_15.869-05_00.jpg,CV2
data/fvsu2025/bap2/250006_LeafPhotoA_2025-10-01 08_33_19.679-05_00.jpg,CV2
data/fvsu2025/bap2/250993_LeafPhotoA_2025-10-08 10_02_23.214-05_00.jpg,CV2
data/fvsu2025/bap2/250477_LeafPhotoA_2025-10-02 14_19_58.311-05_00.jpg,CV2
data/fvsu2025/bap2/250996_LeafPhotoA_2025-10-08 09_57_44.062-05_00.jpg,CV2
data/fvsu2025/bap2/250283_LeafPhotoA_2025-10-01 13_38_18.584-05_00.jpg,CV2
