image_name,pctd,image_id
1213_LeafPhotoA_2025-09-08 09_44_31.820-05_00_1.png,0.06786433187534999,1213_LeafPhotoA_2025-09-08 09_44_31.820
1213_LeafPhotoA_2025-09-08 09_44_31.820-05_00_2.png,0.2704240352193693,1213_LeafPhotoA_2025-09-08 09_44_31.820
1213_LeafPhotoA_2025-09-08 09_44_31.820-05_00_3.png,0.2763282074057625,1213_LeafPhotoA_2025-09-08 09_44_31.820
1213_LeafPhotoA_2025-09-08 09_45_05.304-05_00_0.png,0,1213_LeafPhotoA_2025-09-08 09_45_05.304
1213_LeafPhotoA_2025-09-08 09_45_05.304-05_00_1.png,0,1213_LeafPhotoA_2025-09-08 09_45_05.304
1213_LeafPhotoA_2025-09-08 09_45_05.304-05_00_2.png,0,1213_LeafPhotoA_2025-09-08 09_45_05.304
1213_LeafPhotoA_2025-09-08 09_45_05.304-05_00_3.png,0.00273522975929978,1213_LeafPhotoA_2025-09-08 09_45_05.304
1214_LeafPhotoA_2025-09-08 09_46_06.613-05_00_0.png,0.3024102101779058,1214_LeafPhotoA_2025-09-08 09_46_06.613
1214_LeafPhotoA_2025-09-08 09_46_06.613-05_00_1.png,0.8641511413243954,1214_LeafPhotoA_2025-09-08 09_46_06.613
1214_LeafPhotoA_2025-09-08 09_46_06.613-05_00_2.png,0.8310117026443221,1214_LeafPhotoA_2025-09-08 09_46_06.613
1214_LeafPhotoA_2025-09-08 09_46_06.613-05_00_3.png,0.9884950133421188,1214_LeafPhotoA_2025-09-08 09_46_06.613
1214_LeafPhotoA_2025-09-08 09_46_46.292-05_00_0.png,1.0072292731754158,1214_LeafPhotoA_2025-09-08 09_46_46.292
1214_LeafPhotoA_2025-09-08 09_46_46.292-05_00_1.png,1.2290934068438986,1214_LeafPhotoA_2025-09-08 09_46_46.292
1214_LeafPhotoA_2025-09-08 09_46_46.292-05_00_2.png,0.5981400134225836,1214_LeafPhotoA_2025-09-08 09_46_46.292
1214_LeafPhotoA_2025-09-08 09_46_46.292-05_00_3.png,0.9682842207994604,1214_LeafPhotoA_2025-09-08 09_46_46.292
