plot,accession,flagleaflength,flagleafwidth,leaf.number,plant.height
5377,Btx623,39.5,4.5,14,98
5378,Border,53.8,7,12,79
5379,Border,29.8,4.6,9,70
5380,Border,43.5,4.5,9,67
5381,PI 561472,42.7,6.1,13,170
5382,PI 597964,44.6,8.1,13,105
5383,PI 585295,49.7,5.2,13,88
5384,PI 534054,50,4.5,11,102
5385,PI 533830,?,NA,NA,NA
5386,PI 534021,NA,NA,13,83
5387,PI 656086,36.4,3.9,14,135
5388,PI 533919,60,6,11,77
5389,Btx623,29,3.8,12,101
5390,PI 534138,26.7,3.4,14,82
6001,BTx623,34,3.8,11,95
6002,BTx623,31.5,4.5,10,89
6003,PI 656110,47.6,5.3,12,62
6004,Border,52.2,7.1,12,72
6005,Border,46.5,7.5,12,82
6006,Border,47,6.6,11,82
6007,Border,NA,NA,12,68
6008,PI 656036,41.8,4.2,11,125
6009,PI 533927,40.6,5.2,14,178
6010,BTx623,32,5,13,108
6011,PI 656061,38.3,4.3,12,96
6012,Border,51.5,6.3,11,85
6013,Border,42,5.5,13,76
6014,PI 655976,44.4,4.4,14,83
6015,PI 595699,36.7,4.4,13,75
6016,PI 642793,26.7,4.8,13,80
6017,PI 533996,35.8,5,12,81
6018,PI 656023,24.3,2.9,12,161
6019,PI 533821,36.6,4.4,14,93
6020,PI 656027,39,3.8,9,108
6021,PI 656115,32.6,3.8,13,76
6022,PI 656039,31.8,8.3,14,132
6023,BTx623,30.6,4.5,14,100
6024,PI 597971,32.4,5.2,13,85
6025,PI 656053,51,5.9,15,70
6026,PI 656007,41.6,5.5,14,88
6027,PI 656012,NA,NA,17,130
6028,PI 534163,26.6,4.3,14,79
6029,PI 656081,49.8,5,8,120
6030,PI 533956,44.6,3.7,11,128
6031,PI 656028,30.2,5.8,15,282
6032,PI 534047,39.7,4.1,10,73
6033,PI 656003,39,3.5,15,140
6034,PI 576333,43,5.2,13,85
6035,BTx623,35.5,5,12,112
6036,PI 656108,53.6,5.2,12,97
6037,PI 655977,33,6.1,11,60
6038,PI 656083,x,NA,NA,NA
6039,PI 533913,33.4,5.6,12,79
6040,PI 655975,54,6.7,13,86
6041,PI 534037,37.3,5.3,11,128
6042,PI 656034,43.7,6.1,15,110
6043,PI 533962,34.6,3.9,14,137
6044,PI 656082,46.8,4.2,17,82
6045,PI 655996,31.4,4.5,14,95
6046,PI 656046,43.8,7,16,135
6047,PI 533985,38,4.9,14,96
6048,PI 656037,40,6.8,14,151
6049,PI 533785,23.5,4.4,12,85
6050,PI 576394,29.4,4.3,11,88
6051,PI 533924,36.5,5.1,13,60
6052,PI 533824,39,6,11,70
6053,PI 655994,34.5,5.8,11,234
6054,BTx623,24,3.9,13,92
6055,PI 533757,30.9,6.2,13,82
6056,BTx623,40.3,5,13,90
6057,PI 656055,37.3,6.6,15,81
6058,PI 656057,NA,NA,16,115
6059,PI 533839,35.8,4.8,14,98
6060,PI 561472,?,NA,16,150
6061,BTx623,37.6,6.1,12,93
6062,PI 597958,28,4.4,12,89
6063,PI 533912,22.1,4.3,8,90
6064,PI 595745,32.7,3.2,14,120
6065,PI 656087,35,5.1,9,78
6066,PI 595702,26,3.5,11,135
6067,BTx623,22.5,3,12,100
6068,PI 576340,34.2,5.1,12,117
6069,PI 542718,41.5,7.4,11,160
6070,PI 533852,29.3,6,12,78
6071,PI 656000,36.6,5,11,80
6072,PI 656019,?,NA,12,100
6073,PI 534101,39.2,4.5,13,80
6074,PI 656100,59.4,7.9,13,62
