plotNumber,Rep,date,genotype,A,B,score_average,Comment
1635,1,828,PI 576330,3,2,2.5,few plants
1636,1,828,PI 656008,1,1.5,1.25,
1637,1,828,PI 534052,2,2,2,
1638,1,828,PI 534035,3,3,3,
1639,1,828,PI 656089,2.5,3,2.75,
1640,1,828,PI 533966,2,1.5,1.75,
1641,1,828,PI 534161,1,1,1,
1642,1,828,PI 534063,2,2,2,
1643,1,828,PI 35038,3,3.5,3.25,
1644,1,828,BTx643,2,2,2,
1645,1,828,PI 534103,2,2,2,
1646,1,828,PI 656051,1.5,1,1.25,bacteria
1647,1,828,PI 533883,3,3.5,3.25,
1648,1,828,PI 534151,2.5,3,2.75,
1649,1,828,PI 533909,2,2.5,2.25,
1650,1,828,PI 533949,2,2,2,
1651,1,828,PI 533795,1,2.5,1.75,
1652,1,828,Check,2,2,2,
1653,1,828,PI 533954,3,3,3,
1654,1,828,SC0409,3,3,3,
1655,1,828,PI 576399,3,3,3,
1656,1,828,PI 534084,2.5,3,2.75,
1657,1,828,PI 656004,2,1.5,1.75,
1658,1,828,PI 533780,2,2,2,
1659,1,828,PI 576372,2,1.5,1.75,
1660,1,828,PI 533832,1,1.5,1.25,
1661,1,828,PI 656078,1,1,1,
1662,1,828,PI 533967,1,1,1,
1663,1,828,Check,2,2,2,
1664,1,828,PI 534003,4,4.5,4.25,
1665,1,828,PI 656087,2,2,2,
1666,1,828,PI 534130,3,3,3,
1667,1,828,SC1178,3,2,2.5,
1668,1,828,PI 576396,3,3,3,
1669,1,828,PI 533922,1.5,2,1.75,
1670,1,828,Check,2,2,2,
1671,1,828,PI 533940,2,2,2,
1672,1,828,PI 534065,1,2,1.5,bacteria
1673,1,828,PI 534115,3,3,3,
1674,1,828,PI 656047,0.5,5,2.75,
1675,1,828,SC0640,3,2,2.5,
1676,1,828,PI 533805,3.5,4,3.75,
1677,1,828,Check,1,2,1.5,
1678,1,828,PI 534081,3,3,3,
1679,1,828,PI 534066,3.5,4,3.75,
1680,1,828,PI 656043,3,2,2.5,
1681,1,828,SC1097,3,3,3,
1682,1,828,PI 533788,2,3,2.5,
1683,1,828,PI 534098,1,1,1,
1684,1,828,PI 533845,2,2,2,
1685,1,828,PI 534112,1.5,1,1.25,might be NLB
1686,1,828,PI 576375,3,3,3,
1687,1,828,PI 534162,1,1.5,1.25,
1688,1,828,PI 533970,2,2,2,
1689,1,828,SC0190,3.5,3,3.25,
1690,1,828,PI 533779,3.5,3.5,3.5,
1691,1,828,PI 656080,1.5,1,1.25,
1692,1,828,PI 533924,2,3,2.5,
1693,1,828,PI 534116,2,2.5,2.25,
1694,1,828,PI 576433,1.5,2,1.75,
1695,1,828,PI 533992,2,2,2,
1696,1,828,PI 576395,1,1,1,
1697,1,828,PI 533907,2,1.5,1.75,
1698,1,828,SC0179,3.5,3,3.25,
1699,1,828,PI 656084,3,3,3,
1700,1,828,PI 609456,2,2,2,
1701,1,828,PI 576398,1,1.5,1.25,
1702,1,828,PI 533869,2.5,3,2.75,
1703,1,828,SC0581,2,1.5,1.75,
1704,1,828,PI 656059,2,2.5,2.25,
1705,1,828,PI 656119,3,3,3,
1706,1,828,Check,2,2,2,
1707,1,828,PI 533747,3,2,2.5,
1708,1,828,PI 533810,3,2.5,2.75,
1709,1,828,PI 656074,3,2,2.5,
1710,1,828,PI 656085,2,1.5,1.75,
1711,1,828,PI 576361,3,3.5,3.25,
1712,1,828,SC0521,3,4,3.5,
1713,1,828,PI 533874,2,1,1.5,
1714,1,828,SC0138,2.5,1.5,2,
1715,1,828,Check,2.5,2.5,2.5,
1716,1,828,PI 534104,2,1.5,1.75,
1717,1,828,SC0685,2,3,2.5,
1718,1,828,PI 595700,2.5,2.5,2.5,
1719,1,828,PI 534067,3,2,2.5,
1720,1,828,PI 656117,2,1.5,1.75,
1721,1,828,PI 533749,2,2.5,2.25,
1722,1,828,PI 533947,3,3,3,
1723,1,828,PI 533844,2,1.5,1.75,
1724,1,828,SC0893,3,1.5,2.25,
1725,1,828,PI 561071,1,1.5,1.25,
1726,1,828,PI 576367,2,1,1.5,
1727,1,828,PI 642992,1,1.5,1.25,
1728,1,828,PI 659696,2,2,2,
1729,1,828,PI 534101,2.5,2,2.25,
1730,1,828,PI 533809,3.5,3,3.25,
1731,1,828,PI 533750,1,1,1,
1732,1,828,PI 656050,2.5,2.5,2.5,
1733,1,828,PI 576338,3,3,3,
1734,1,828,PI 656121,3.5,3,3.25,
1735,1,828,PI 533815,1.5,1.5,1.5,
1736,1,828,PI 576333,3.5,4,3.75,
1737,1,828,PI 597946,2,3,2.5,
1738,1,828,PI 533911,2,2,2,
1739,1,828,PI 656019,3,2.5,2.75,
1740,1,828,SC0157,3,3,3,
1741,1,828,PI 533758,2.5,3.5,3,
1742,1,828,PI 656111,3,2.5,2.75,
1743,1,828,Check,3,3.5,3.25,
1744,1,828,PI 576424,3.5,3,3.25,
1745,1,828,PI 533828,3.5,2,2.75,
1746,1,828,PI 534132,1.5,2,1.75,
1747,1,828,PI 533959,2.5,1.5,2,
1748,1,828,PI 656061,3,2.5,2.75,
1749,1,828,PI 533941,2,2,2,
1750,1,828,PI 576415,2,3,2.5,
1751,1,828,PI 656082,2,2,2,
1752,1,828,PI 534024,3,3.5,3.25,
1753,1,828,PI 534092,3,3,3,
1754,1,828,PI 533862,3.5,4,3.75,
1755,1,828,PI 533830,3,3.5,3.25,
1756,1,828,PI 607931,3,3.5,3.25,
1757,1,828,PI 656115,3,2.5,2.75,
1758,1,828,SC0343,2.5,3,2.75,
1759,1,828,PI 595744,2,2.5,2.25,
1760,1,828,PI 597980,2,3,2.5,
1761,1,828,PI 533865,3,3,3,
1762,1,828,PI 576397,2.5,2,2.25,
1763,1,828,SC0456,2,1.5,1.75,
1764,1,828,SC1058,3.5,4.5,4,
1765,1,828,PI 533804,3,3,3,
1766,1,828,SC0092,,,,no plants
1767,1,828,PI 533793,,,,no plants
1768,1,828,PI 576376,2,2,2,
1769,1,828,Check,3,3,3,
1770,1,828,PI 595709,1,1.5,1.25,
1771,1,828,PI 533811,3,3.5,3.25,
1772,1,828,PI 576345,2.5,3,2.75,
1773,1,828,PI 576130,2,2,2,
1774,1,828,SC0868,2.5,2,2.25,
1775,1,828,PI 534096,2.5,3,2.75,
1776,1,828,PI 533977,2,2,2,
1777,1,828,SC0551,1,1.5,1.25,
1778,1,828,PI 576436,1.5,1,1.25,
1779,1,828,Check,0.5,2.5,1.5,
1780,1,828,PI 533775,3.5,3,3.25,
1781,1,828,PI 595748,3,3,3,
1782,1,828,PI 576434,2.5,3,2.75,
1783,1,828,PI 656081,3,3,3,
1784,1,828,PI 22326,2,2,2,
1785,1,828,SC0412,3,3,3,
1786,1,828,PI 651492,2,1,1.5,
1787,1,828,PI 533760,1,1,1,
1788,1,828,PI 533757,2.5,2,2.25,
1789,1,828,PI 656011,1,1,1,
1790,1,828,PI 656022,2,2,2,
1791,1,828,PI 534064,2.5,3,2.75,
1792,1,828,PI 561072,2,2,2,
1793,1,828,PI 533853,1,1,1,
1794,1,828,Check,2,2.5,2.25,
1795,1,828,PI 34911,2,2,2,
1796,1,828,SC0848,4.5,4.5,4.5,
1797,1,828,PI 656096,2,2,2,
1798,1,828,PI 656110,1,1,1,
1799,1,828,PI 655998,3.5,3,3.25,
1800,1,828,PI 533785,2,2,2,
1801,1,828,PI 642793,2.5,1,1.75,
1802,1,828,PI 656024,2,1.5,1.75,
1803,1,828,PI 533842,2.5,2.5,2.5,
1804,1,828,PI 533814,3,3,3,
1805,1,828,PI 534033,2.5,2,2.25,
1806,1,828,PI 576385,2,1.5,1.75,
1807,1,828,PI 534150,3,3,3,
1808,1,828,PI 656049,3,3,3,
1809,1,828,SC0837,2,3,2.5,
1810,1,828,SC1119,3,4,3.5,
1811,1,828,PI 534015,2,2.5,2.25,
1812,1,828,Check,1,2,1.5,
1813,1,828,PI 533860,1,3,2,
1814,1,828,PI 533910,2,2,2,
1815,1,828,PI 534013,2,3.5,2.75,
1816,1,828,PI 656041,3,3.5,3.25,
1817,1,828,PI 655990,2,2,2,
1818,1,828,PI 533933,3,2,2.5,
1819,1,828,PI 533997,2,4,3,
1820,1,828,PI 534018,2.5,3,2.75,
1821,1,828,PI 533770,2,2,2,
1822,1,828,PI 533827,2.5,3,2.75,
1823,1,828,SC0314,2,2.5,2.25,
1824,1,828,PI 533812,2.5,2.5,2.5,
1825,1,828,PI 656068,2,2.5,2.25,
1826,1,828,PI 533858,3,3,3,
1827,1,828,Check,2,3.5,2.75,
1828,1,828,PI 601816,2,3.5,2.75,
1829,1,828,PI 656055,2,3.5,2.75,
1830,1,828,PI 533925,1.5,1,1.25,
1831,1,828,PI 655972,2,2,2,
1832,1,828,PI 533840,3,3.5,3.25,
1833,1,828,PI 533836,3,3.5,3.25,
1834,1,828,PI 534124,3.5,3,3.25,
1835,1,828,PI 534059,2,3,2.5,
1836,1,828,PI 533918,2,1.5,1.75,
1837,1,828,PI 533960,3,2,2.5,
1838,1,828,SC0602,2,2,2,
1839,1,828,PI 534085,2,2.5,2.25,
1840,1,828,SC0615,3,3,3,
1841,1,828,SC0753,2,3,2.5,
1842,1,828,PI 576328,2,1.5,1.75,
1843,1,828,PI 585291,2,1.5,1.75,
1844,1,828,PI 564164,2.5,1,1.75,
1845,1,828,PI 597944,2,1,1.5,
1846,1,828,PI 576347,3,3.5,3.25,
1847,1,828,PI 597950,2,4,3,
1848,1,828,PI 153852,3.5,2,2.75,
1849,1,828,PI 534097,3.5,3,3.25,
1850,1,828,PI 651496,3,3,3,
1851,1,828,PI 576341,2,2,2,
1852,1,828,PI 655988,3,2,2.5,
1853,1,828,PI 552856,1,1,1,
1854,1,828,PI 656079,3,3,3,
1855,1,828,Check,3,2.5,2.75,
1856,1,828,Check,2.5,3,2.75,
1857,1,828,PI 656027,2,2,2,
1858,1,828,PI 595746,2,3,2.5,
1859,1,828,PI 656029,3,2,2.5,
1860,1,828,PI 576422,2,1.5,1.75,
1861,1,828,PI 533838,3,1.5,2.25,
1862,1,828,Check,2,2,2,
1863,1,828,PI 533764,4,4,4,
1864,1,828,SC1082,2.5,2.5,2.5,
1865,1,828,PI 576405,2.5,3,2.75,
1866,1,828,PI 576420,2.5,2,2.25,
1867,1,828,PI 576407,3.5,3,3.25,
1868,1,828,PI 595747,2,2,2,
1869,1,828,PI 533927,2,2,2,
1870,1,828,PI 595726,2,1.5,1.75,
1871,1,828,SC0236,1,3,2,
1872,1,828,PI 533957,2.5,2,2.25,
1873,1,828,PI 534046,2.5,1.5,2,
1874,1,828,PI 533889,2,2,2,
1875,1,828,PI 595742,3,3,3,
1876,1,828,PI 533900,2,2,2,
1877,1,828,SC0823,2,1.5,1.75,
1878,1,828,SC1216,2.5,2.5,2.5,
1879,1,828,PI 565121,2,1.5,1.75,
1880,1,828,PI 534072,2.5,2,2.25,
1881,1,828,PI 566819,2,2,2,
1882,1,828,PI 656069,2,1,1.5,
1883,1,828,PI 576432,1,2.5,1.75,
1884,1,828,Check,2,2,2,
1885,1,828,PI 533895,3,2.5,2.75,
1886,1,828,PI 656030,3,3,3,
1887,1,828,SC0505,2,2,2,
1888,1,828,SC0878,3,3,3,
1889,1,828,PI 534075,3,3.5,3.25,
1890,1,828,PI 533863,1,2,1.5,
1891,1,828,PI 655973,3.5,2.5,3,
1892,1,828,PI 576358,3,3,3,
1893,1,828,PI 595713,2,1.5,1.75,
1894,1,828,PI 656000,2,2,2,
1895,1,828,Fill,1,2,1.5,
1896,1,828,PI 534091,1,4,2.5,
1897,1,828,SC0858,3,3,3,
1898,1,828,PI 533937,2,1.5,1.75,
1899,1,828,Check,2,1.5,1.75,
1900,1,828,PI 533944,3.5,5,4.25,
1901,1,828,PI 534109,1,2,1.5,
1902,1,828,PI 576408,2,3.5,2.75,
1903,1,828,PI 576403,3.5,2,2.75,
1904,1,828,PI 152651,3,2.5,2.75,
1905,1,828,Check,2.5,2,2.25,
1906,1,828,PI 533881,2,3,2.5,
1907,1,828,PI 533921,2.5,4,3.25,
1908,1,828,PI 655994,2,2,2,
1909,1,828,PI 533923,1.5,1.5,1.5,
1910,1,828,PI 576382,3,3.5,3.25,
1911,1,828,PI 656007,2.5,3,2.75,
1912,1,828,PI 641836,2,2.5,2.25,
1913,1,828,PI 595722,1,2,1.5,
1914,1,828,PI 576342,3,3,3,
1915,1,828,SC0448,2,2.5,2.25,
1916,1,828,PI 533989,2,2,2,
1917,1,828,PI 533898,2,2,2,
1918,1,828,PI 595730,2,3.5,2.75,
1919,1,828,PI 595737,1,2,1.5,
1920,1,828,PI 534047,2.5,2.5,2.5,
1921,1,828,PI 533884,2.5,3,2.75,
1922,1,828,Check,2,2,2,
1923,1,828,PI 533919,3,3.5,3.25,
1924,1,828,PI 656032,2,2.5,2.25,
1925,1,828,PI 534105,1,1,1,
1926,1,828,PI 533761,2,3,2.5,
1927,1,828,PI 576340,2,2,2,
1928,1,828,SC1021,3,2.5,2.75,
1929,1,828,PI 534058,3.5,3.5,3.5,
1930,1,828,PI 595699,3,3.5,3.25,
1931,1,828,PI 533973,1,1,1,
1932,1,828,SC0864,2,2.5,2.25,
1933,1,828,PI 534051,2,2,2,
1934,1,828,PI 595706,3,3,3,
1935,1,828,PI 533955,2,2.5,2.25,
1936,1,828,PI 576348,3.5,4,3.75,
1937,1,828,PI 597970,3,2,2.5,
1938,1,828,SC0400,2,2,2,
1939,1,828,PI 534025,3.5,4,3.75,
1940,1,828,PI 576357,3,3.5,3.25,
1941,1,828,PI 533797,2,2,2,
1942,1,828,PI 533783,2.5,3,2.75,
1943,1,828,PI 655984,2,2,2,
1944,1,828,PI 576334,2,2.5,2.25,
1945,1,828,PI 597963,2,1.5,1.75,
1946,1,828,PI 585295,2,1,1.5,
1947,1,828,PI 533990,1,2,1.5,
1948,1,828,PI 533952,3,2.5,2.75,
1949,1,828,PI 534045,2,2,2,
1950,1,828,PI 533752,1,1.5,1.25,
1951,1,828,PI 533821,3,3,3,
1952,1,828,Check,3,2,2.5,
1953,1,828,PI 576377,3,3,3,
1954,1,828,PI 576343,2.5,3,2.75,
1955,1,828,PI 656064,3,3.5,3.25,
1956,1,828,PI 534043,2,3,2.5,
1957,1,828,Check,2.5,2.5,2.5,
1958,1,828,PI 595738,2,2,2,
1959,1,828,PI 533754,1.5,2,1.75,
1960,1,828,PI 534000,3,3.5,3.25,
1961,1,828,PI 597960,1,1,1,
1962,1,828,PI 533820,2,2,2,
1963,1,828,SC0266,3.5,3.5,3.5,
1964,1,828,Check,2.5,1.5,2,
1965,1,828,PI 595716,1.5,1.5,1.5,
1966,1,828,PI 656039,2,2.5,2.25,
1967,1,828,PI 542406,1,2.5,1.75,
1968,1,828,PI 533784,1,2,1.5,
1969,1,828,Check,2.5,3,2.75,
1970,1,828,PI 534023,3.5,3.5,3.5,
1971,1,828,Check,1,3,2,
1972,1,828,PI 576386,2,3,2.5,
1973,1,828,PI 656099,2,2.5,2.25,
1974,1,828,PI 576346,2,2,2,
1975,1,828,PI 561472,1,2,1.5,
1976,1,828,PI 534078,1.5,1.5,1.5,
1977,1,828,PI 597951,1,2,1.5,
1978,1,828,PI 656026,1,2,1.5,
1979,1,828,PI 656062,2,2,2,
1980,1,828,PI 655976,3,2.5,2.75,
1981,1,828,PI 629034,1,1,1,
1982,1,828,Check,2,1.5,1.75,
1983,1,828,SC1107,2.5,1.5,2,
1984,1,828,PI 655979,1,1,1,
1985,1,828,PI 534007,3,3,3,
1986,1,828,SC1023,2,2.5,2.25,
1987,1,828,PI 595701,2,3,2.5,
1988,1,828,Check,2.5,2.5,2.5,
1989,1,828,PI 534019,3.5,3,3.25,
1990,1,828,PI 576429,3,3.5,3.25,
1991,1,828,Check,3,1,2,
1992,1,828,PI 656016,2,1.5,1.75,
1993,1,828,PI 533771,2,3,2.5,
1994,1,828,PI 534156,2,2.5,2.25,
1995,1,828,PI 533946,3,2.5,2.75,
1996,1,828,PI 533799,1,2,1.5,
1997,1,828,PI 597957,1,2,1.5,
1998,1,828,SC1114,3,2,2.5,
1999,1,828,PI 576391,2,2,2,
2001,2,828,PI 576411,1,1,1,
2002,2,828,PI 655987,3,2.5,2.75,
2003,2,828,PI 533938,3,2,2.5,
2004,2,828,Check,2,2,2,
2005,2,828,PI 533825,4,4,4,
2006,2,828,SC1107,3,3,3,
2007,2,828,PI 533895,3,3.5,3.25,
2008,2,828,PI 576340,2,2,2,
2009,2,828,PI 533757,2.5,2.5,2.5,
2010,2,828,PI 533810,2.5,2.5,2.5,
2011,2,828,PI 656083,2,2,2,
2012,2,828,PI 533861,1,1.5,1.25,
2013,2,828,SC0470,4,3.5,3.75,
2014,2,828,PI 576392,3.5,3,3.25,
2015,2,828,Check,2.5,2,2.25,
2016,2,828,PI 595711,3.5,3.5,3.5,
2017,2,828,PI 533889,2.5,3.5,3,
2018,2,828,PI 534062,2.5,4,3.25,
2019,2,828,PI 641874,3.5,3,3.25,
2020,2,828,PI 576424,3.5,3.5,3.5,
2021,2,828,PI 656095,1.5,1.5,1.5,
2022,2,828,SC0159,5,5,5,
2023,2,828,SC0640,4,3,3.5,
2024,2,828,SC0652,5,5,5,
2025,2,828,PI 655976,1.5,4.5,3,
2026,2,828,PI 534105,2,1.5,1.75,
2027,2,828,PI 534097,4,4,4,
2028,2,828,SC1446,3.5,3.5,3.5,
2029,2,828,PI 533777,4.5,3.5,4,
2030,2,828,Fill,1.5,1.5,1.5,
2031,2,828,PI 533877,3,2,2.5,
2032,2,828,Check,2,1.5,1.75,
2033,2,828,SC1170,4,4,4,
2034,2,828,PI 534124,3,2.5,2.75,
2035,2,828,PI 597961,1.5,1.5,1.5,
2036,2,828,PI 655980,3,2,2.5,nlb
2037,2,828,PI 533920,1.5,1.5,1.5,
2038,2,828,PI 533848,5,5,5,
2039,2,828,PI 534107,3.5,4.5,4,
2040,2,828,PI 533958,3.5,4,3.75,
2041,2,828,PI 533751,3,3,3,
2042,2,828,PI 534110,3,3,3,
2043,2,828,SC0860,5,5,5,
2044,2,828,SC0456,1.5,1.5,1.5,
2045,2,828,PI 576428,1.5,1.5,1.5,
2046,2,828,PI 576383,4,4,4,
2047,2,828,PI 576417,4,3.5,3.75,
2048,2,828,PI 576364,3.5,3.5,3.5,
2049,2,828,PI 656060,2.5,4,3.25,
2050,2,828,Check,1.5,1.5,1.5,
2051,2,828,PI 533763,5,5,5,
2052,2,828,PI 534164,2.5,1.5,2,
2053,2,828,PI 576419,3.5,3,3.25,2 plants
2054,2,828,PI 534046,4,4,4,
2055,2,828,PI 534038,4.5,4,4.25,
2056,2,828,PI 533903,3.5,2,2.75,
2057,2,828,PI 533814,4,4,4,
2058,2,828,PI 533904,4.5,4,4.25,
2059,2,828,PI 595732,,,,2 plants
2060,2,828,PI 534167,3,2.5,2.75,
2061,2,828,PI 534037,2.5,2,2.25,
2062,2,828,Check,2,2,2,
2063,2,828,PI 534150,4,4,4,
2064,2,828,PI 533841,3.5,3.5,3.5,
2065,2,828,PI 534055,2,3,2.5,
2066,2,828,PI 595737,2.5,2,2.25,
2067,2,828,PI 595704,3,3,3,
2068,2,828,PI 659695,2,2.5,2.25,
2069,2,828,SC0893,2.5,2,2.25,
2070,2,828,PI 656051,1,1,1,
2071,2,828,PI 533876,4.5,4,4.25,
2072,2,828,PI 533884,,5,5,
2073,2,828,PI 576391,2,2,2,
2074,2,828,PI 533817,5,5,5,
2075,2,828,PI 655984,3.5,3,3.25,
2076,2,828,Check,2.5,2,2.25,
2077,2,828,PI 534153,5,4.5,4.75,
2078,2,828,PI 533900,1.5,2,1.75,
2079,2,828,PI 533915,3.5,3.5,3.5,
2080,2,828,PI 597953,3.5,2.5,3,
2081,2,828,PI 533783,4,4,4,
2082,2,828,PI 534158,1.5,2,1.75,
2083,2,828,SC0157,3.5,3,3.25,
2084,2,828,PI 534022,4.5,5,4.75,
2085,2,828,PI 534048,2,2,2,
2086,2,828,SC0297,5,5,5,
2087,2,828,PI 534143,3.5,4,3.75,
2088,2,828,PI 534071,4,3.5,3.75,
2089,2,828,PI 533789,3.5,3.5,3.5,
2090,2,828,PI 534009,4,4,4,
2091,2,828,PI 534003,5,5,5,
2092,2,828,SC0753,3.5,4.5,4,
2093,2,828,PI 533888,3,3,3,
2094,2,828,PI 656099,4,4,4,
2095,2,828,PI 597945,2.5,2.5,2.5,
2096,2,828,PI 533767,2,2,2,
2097,2,828,PI 533893,4,3.5,3.75,
2098,2,828,PI 656075,1,1,1,
2099,2,828,PI 656039,1.5,1.5,1.5,
2100,2,828,PI 534033,3,2.5,2.75,
2101,2,828,SC0814,4.5,4,4.25,
2102,2,828,PI 533899,2,0.5,1.25,
2103,2,828,PI 601743,,,,nothing
2104,2,828,PI 613610,2.5,1.5,2,
2105,2,828,Fill,2,2,2,
2106,2,828,PI 601554,2,1.5,1.75,
2107,2,828,PI 533910,3,2.5,2.75,
2108,2,828,Check,1.5,2,1.75,
2109,2,828,PI 534108,3,2.5,2.75,
2110,2,828,PI 548797,1.5,1.5,1.5,
2111,2,828,PI 542406,3,2.5,2.75,
2112,2,828,PI 533831,2,2,2,
2113,2,828,PI 576395,2,1.5,1.75,
2114,2,828,PI 533804,4,3.5,3.75,
2115,2,828,PI 656035,3.5,3.5,3.5,
2116,2,828,Check,3,2,2.5,
2117,2,828,PI 533846,4,4,4,
2118,2,828,SC0858,4,4.5,4.25,
2119,2,828,PI 534004,5,4.5,4.75,
2120,2,828,PI 533944,5,5,5,
2121,2,828,PI 533832,2,2,2,
2122,2,828,PI 534064,3,3.5,3.25,
2123,2,828,PI 597963,3,3,3,
2124,2,828,PI 533833,3.5,3.5,3.5,
2125,2,828,PI 656003,3.5,3,3.25,
2126,2,828,PI 24969,4,4,4,
2127,2,828,PI 534144,2,2.5,2.25,
2128,2,828,PI 595709,1,1,1,
2129,2,828,Check,2,2,2,
2130,2,828,PI 656015,3.5,2.5,3,
2131,2,828,PI 533979,3,3,3,
2132,2,828,PI 534018,4,4,4,
2133,2,828,PI 576333,2.5,2,2.25,
2134,2,828,PI 534041,3,3,3,
2135,2,828,PI 655992,3.5,3,3.25,
2136,2,828,PI 533891,3,3,3,
2137,2,828,PI 656022,3.5,2.5,3,
2138,2,828,PI 534163,3,2.5,2.75,
2139,2,828,PI 656087,3,2,2.5,
2140,2,828,PI 534088,4,4.5,4.25,
2141,2,828,PI 576332,3.5,2.5,3,
2142,2,828,Check,2,2,2,
2143,2,828,PI 576376,1.5,2,1.75,
2144,2,828,PI 533902,3,2.5,2.75,
2145,2,828,PI 656014,3.5,2,2.75,
2146,2,828,SC0201,3.5,3,3.25,
2147,2,828,PI 533941,2,3,2.5,
2148,2,828,PI 576348,4.5,3.5,4,
2149,2,828,PI 533835,4,4,4,
2150,2,828,PI 533801,3,2.5,2.75,
2151,2,828,PI 533935,5,5,5,
2152,2,828,Check,2.5,2.5,2.5,
2153,2,828,PI 534013,3,2.5,2.75,
2154,2,828,PI 534086,4,3.5,3.75,
2155,2,828,PI 656062,,,,nothing
2156,2,828,PI 533778,3.5,4,3.75,
2157,2,828,PI 659692,5,5,5,
2158,2,828,PI 534103,3.5,3,3.25,
2159,2,828,PI 533770,3.5,3.5,3.5,
2160,2,828,PI 597976,2.5,2,2.25,
2161,2,828,SC0371,4,3,3.5,
2162,2,828,PI 552861,2,2,2,
2163,2,828,PI 576431,,,,2 plants
2164,2,828,PI 576130,1.5,2,1.75,
2165,2,828,Check,3,3,3,
2166,2,828,PI 597966,3,2,2.5,
2167,2,828,Check,2.5,2,2.25,
2168,2,828,PI 595741,3,2.5,2.75,
2169,2,828,PI 534111,2.5,2.5,2.5,
2170,2,828,PI 656094,3.5,3.5,3.5,
2171,2,828,PI 153846,3.5,3.5,3.5,
2172,2,828,PI 534146,2,2.5,2.25,
2173,2,828,PI 534053,2,2,2,
2174,2,828,PI 595745,2.5,2,2.25,
2175,2,828,PI 534060,4.5,3.5,4,
2176,2,828,PI 595743,3.5,4,3.75,
2177,2,828,PI 659691,3.5,2.5,3,
2178,2,828,PI 656118,3.5,3.5,3.5,
2179,2,828,PI 533919,4,3.5,3.75,
2180,2,828,PI 576371,4,4,4,
2181,2,828,PI 533840,5,4.5,4.75,
2182,2,828,SC0505,3,4,3.5,
2183,2,828,PI 656038,4,3.5,3.75,
2184,2,828,PI 595726,2.5,3,2.75,
2185,2,828,PI 533760,,,,1 plant
2186,2,828,PI 533794,1.5,2,1.75,
2187,2,828,Check,2,2,2,
2188,2,828,SC0777,1.5,2,1.75,
2189,2,828,PI 276837,3,3.5,3.25,
2190,2,828,PI 534127,3.5,3.5,3.5,
2191,2,828,PI 533974,1.5,2,1.75,
2192,2,828,PI 656084,2,2.5,2.25,
2193,2,828,PI 597962,,,,2 plants
2194,2,828,PI 533953,5,5,5,
2195,2,828,PI 595712,3,2,2.5,
2196,2,828,PI 534077,5,5,5,
2197,2,828,PI 595713,3,3,3,
2198,2,828,PI 534074,2,2,2,
2199,2,828,PI 542718,5,5,5,
2200,2,828,PI 534135,1,1.5,1.25,
2201,2,828,PI 595733,1.5,1.5,1.5,
2202,2,828,PI 576380,3,3,3,
2203,2,828,SC0604,4,4,4,
2204,2,828,PI 656031,2,2,2,
2205,2,828,PI 576385,3.5,4,3.75,
2206,2,828,PI 656048,2,2,2,
2207,2,828,PI 533766,3.5,3.5,3.5,
2208,2,828,PI 656109,4,4,4,
2209,2,828,PI 642992,4,4.5,4.25,
2210,2,828,SC0837,2,3,2.5,
2211,2,828,PI 595736,2,2,2,
2212,2,828,SC0235,4,4,4,
2213,2,828,PI 534019,4,4.5,4.25,
2214,2,828,SC0615,5,5,5,lodged
2215,2,828,PI 534069,4,4.5,4.25,
2216,2,828,Check,3,4,3.5,
2217,2,828,PI 533843,3.5,4.5,4,
2218,2,828,SC0581,3,3,3,
2219,2,828,PI 561072,3.5,4,3.75,
2220,2,828,PI 597951,4.5,5,4.75,
2221,2,828,PI 651492,2,2,2,
2222,2,828,PI 534123,3.5,3,3.25,
2223,2,828,PI 576360,5,5,5,
2224,2,828,SC0190,5,5,5,
2225,2,828,Check,3,3.5,3.25,
2226,2,828,PI 533954,3.5,4,3.75,
2227,2,828,SC0178,3.5,3,3.25,
2228,2,828,PI 655978,3.5,3,3.25,
2229,2,828,PI 534016,3.5,3,3.25,
2230,2,828,Check,3.5,3.5,3.5,
2231,2,828,PI 533775,5,5,5,
2232,2,828,PI 597973,4.5,4.5,4.5,
2233,2,828,PI 533939,5,5,5,
2234,2,828,SC0616,4,4,4,
2235,2,828,PI 576433,3,3,3,
2236,2,828,SC1178,3.5,4,3.75,
2237,2,828,PI 534008,4,3.5,3.75,
2238,2,828,PI 533951,4.5,5,4.75,
2239,2,828,PI 533934,5,5,5,
2240,2,828,PI 576398,3,3,3,
2241,2,828,SC0179,5,5,5,
2242,2,828,PI 656081,4,4,4,
2243,2,828,PI 534129,3.5,3,3.25,
2244,2,828,PI 533994,3,3,3,
2245,2,828,PI 533897,4,4.5,4.25,
2246,2,828,PI 533916,4,4,4,
2247,2,828,PI 534140,4,4,4,
2248,2,828,SC0868,3,2.5,2.75,
2249,2,828,PI 534114,2,2.5,2.25,
2250,2,828,PI 534109,3,3,3,
2251,2,828,PI 533793,3,2,2.5,
2252,2,828,PI 585295,2,2,2,
2253,2,828,Fill,3,3,3,
2254,2,828,PI 533890,4,4,4,
2255,2,828,SC0741,5,5,5,lodged
2256,2,828,PI 533772,3.5,4,3.75,
2257,2,828,PI 595740,3,3,3,
2258,2,828,PI 533901,5,5,5,
2259,2,828,Check,2,3,2.5,
2260,2,828,PI 534134,3.5,3.5,3.5,
2261,2,828,PI 534161,1.5,1.5,1.5,
2262,2,828,PI 533798,2,2,2,
2263,2,828,PI 534014,3.5,4,3.75,
