image_path,segmentation_method
data/fvsu2025/sap1/250391_LeafPhotoA_2025-10-02 10_40_18.456-05_00.jpg,CV2
data/fvsu2025/sap1/250068_LeafPhotoA_2025-10-01 09_16_48.464-05_00.jpg,CV2
data/fvsu2025/sap1/250499_LeafPhotoA_2025-10-03 08_43_47.089-05_00.jpg,CV2
data/fvsu2025/sap1/250560_LeafPhotoA_2025-10-03 10_11_02.213-05_00.jpg,CV2
data/fvsu2025/sap1/250477_LeafPhotoA_2025-10-02 14_20_11.525-05_00.jpg,CV2
data/fvsu2025/sap1/250003_LeafPhotoA_2025-10-01 08_15_59.657-05_00.jpg,CV2
data/fvsu2025/sap1/250244_LeafPhotoA_2025-10-01 10_31_04.522-05_00.jpg,CV2
data/fvsu2025/sap1/250236_LeafPhotoA_2025-10-01 09_51_25.060-05_00.jpg,CV2
data/fvsu2025/sap1/250396_LeafPhotoA_2025-10-02 10_10_18.242-05_00.jpg,CV2
data/fvsu2025/sap1/250413_LeafPhotoA_2025-10-02 13_30_49.340-05_00.jpg,CV2
data/fvsu2025/sap1/250538_LeafPhotoA_2025-10-03 09_25_54.236-05_00.jpg,CV2
data/fvsu2025/sap1/250014_LeafPhotoA_2025-10-01 08_47_18.953-05_00.jpg,CV2
data/fvsu2025/sap1/250423_LeafPhotoA_2025-10-02 13_41_45.660-05_00.jpg,CV2
data/fvsu2025/sap1/250492_LeafPhotoA_2025-10-03 08_21_57.361-05_00.jpg,CV2
data/fvsu2025/sap1/250414_LeafPhotoA_2025-10-02 13_32_21.569-05_00.jpg,CV2
data/fvsu2025/sap1/250077_LeafPhotoA_2025-10-01 08_58_45.384-05_00.jpg,CV2
data/fvsu2025/sap1/250424_LeafPhotoA_2025-10-02 13_43_01.212-05_00.jpg,CV2
data/fvsu2025/sap1/250286_LeafPhotoA_2025-10-01 13_45_37.913-05_00.jpg,CV2
data/fvsu2025/sap1/250494_LeafPhotoA_2025-10-03 08_38_31.734-05_00.jpg,CV2
data/fvsu2025/sap1/250513_LeafPhotoA_2025-10-03 09_04_54.023-05_00.jpg,CV2
data/fvsu2025/sap1/250498_LeafPhotoA_2025-10-03 08_42_43.375-05_00.jpg,CV2
data/fvsu2025/sap1/250074_LeafPhotoA_2025-10-01 09_02_24.669-05_00.jpg,CV2
data/fvsu2025/sap1/250289_LeafPhotoA_2025-10-01 13_56_52.424-05_00.jpg,CV2
data/fvsu2025/sap1/250579_LeafPhotoA_2025-10-03 10_32_29.651-05_00.jpg,CV2
data/fvsu2025/sap1/250225_LeafPhotoA_2025-10-01 09_35_28.515-05_00.jpg,CV2
data/fvsu2025/sap1/250281_LeafPhotoA_2025-10-01 13_34_34.253-05_00.jpg,CV2
data/fvsu2025/sap1/250245_LeafPhotoA_2025-10-01 10_32_25.107-05_00.jpg,CV2
data/fvsu2025/sap1/250400_LeafPhotoA_2025-10-02 10_18_05.680-05_00.jpg,CV2
data/fvsu2025/sap1/250412_LeafPhotoA_2025-10-02 13_30_24.010-05_00.jpg,CV2
data/fvsu2025/sap1/250305_LeafPhotoA_2025-10-01 14_33_41.870-05_00.jpg,CV2
data/fvsu2025/sap1/250278_LeafPhotoA_2025-10-01 13_31_13.609-05_00.jpg,CV2
data/fvsu2025/sap1/250317_LeafPhotoA_2025-10-01 14_20_35.446-05_00.jpg,CV2
data/fvsu2025/sap1/250276_LeafPhotoA_2025-10-01 13_27_38.985-05_00.jpg,CV2
data/fvsu2025/sap1/250398_LeafPhotoA_2025-10-02 10_14_31.073-05_00.jpg,CV2
data/fvsu2025/sap1/250071_LeafPhotoA_2025-10-01 09_12_24.403-05_00.jpg,CV2
data/fvsu2025/sap1/250583_LeafPhotoA_2025-10-03 10_28_14.112-05_00.jpg,CV2
data/fvsu2025/sap1/250013_LeafPhotoA_2025-10-01 08_45_44.764-05_00.jpg,CV2
data/fvsu2025/sap1/250016_LeafPhotoA_2025-10-01 08_49_47.388-05_00.jpg,CV2
data/fvsu2025/sap1/250076_LeafPhotoA_2025-10-01 09_00_16.332-05_00.jpg,CV2
data/fvsu2025/sap1/250578_LeafPhotoA_2025-10-03 10_34_35.160-05_00.jpg,CV2
data/fvsu2025/sap1/250499_LeafPhotoA_2025-10-03 08_43_34.113-05_00.jpg,CV2
data/fvsu2025/sap1/250435_LeafPhotoA_2025-10-02 14_00_58.146-05_00.jpg,CV2
data/fvsu2025/sap1/250007_LeafPhotoA_2025-10-01 08_34_44.348-05_00.jpg,CV2
data/fvsu2025/sap1/250080_LeafPhotoA_2025-10-01 08_53_52.131-05_00.jpg,CV2
data/fvsu2025/sap1/250417_LeafPhotoA_2025-10-02 13_35_09.091-05_00.jpg,CV2
data/fvsu2025/sap1/250576_LeafPhotoA_2025-10-03 10_36_06.847-05_00.jpg,CV2
data/fvsu2025/sap1/250495_LeafPhotoA_2025-10-03 08_39_36.139-05_00.jpg,CV2
data/fvsu2025/sap1/250530_LeafPhotoA_2025-10-03 09_18_40.732-05_00.jpg,CV2
data/fvsu2025/sap1/250562_LeafPhotoA_2025-10-03 10_13_14.529-05_00.jpg,CV2
data/fvsu2025/sap1/250254_LeafPhotoA_2025-10-01 10_44_09.225-05_00.jpg,CV2
data/fvsu2025/sap1/250078_LeafPhotoA_2025-10-01 08_57_56.392-05_00.jpg,CV2
data/fvsu2025/sap1/250236_LeafPhotoA_2025-10-01 09_52_11.579-05_00.jpg,CV2
data/fvsu2025/sap1/250497_LeafPhotoA_2025-10-03 08_40_58.654-05_00.jpg,CV2
data/fvsu2025/sap1/250241_LeafPhotoA_2025-10-01 10_27_33.487-05_00.jpg,CV2
data/fvsu2025/sap1/250510_LeafPhotoA_2025-10-03 09_07_21.042-05_00.jpg,CV2
data/fvsu2025/sap1/250394_LeafPhotoA_2025-10-02 10_36_30.865-05_00.jpg,CV2
data/fvsu2025/sap1/250570_LeafPhotoA_2025-10-03 10_22_19.152-05_00.jpg,CV2
data/fvsu2025/sap1/250409_LeafPhotoA_2025-10-02 10_30_41.247-05_00.jpg,CV2
data/fvsu2025/sap1/250558_LeafPhotoA_2025-10-03 10_09_48.439-05_00.jpg,CV2
data/fvsu2025/sap1/250565_LeafPhotoA_2025-10-03 10_16_33.817-05_00.jpg,CV2
data/fvsu2025/sap1/250226_LeafPhotoA_2025-10-01 09_36_53.175-05_00.jpg,CV2
data/fvsu2025/sap1/250476_LeafPhotoA_2025-10-02 14_18_45.862-05_00.jpg,CV2
data/fvsu2025/sap1/250233_LeafPhotoA_2025-10-01 09_48_06.315-05_00.jpg,CV2
data/fvsu2025/sap1/250280_LeafPhotoA_2025-10-01 13_33_46.278-05_00.jpg,CV2
data/fvsu2025/sap1/250294_LeafPhotoA_2025-10-01 14_02_18.642-05_00.jpg,CV2
data/fvsu2025/sap1/250509_LeafPhotoA_2025-10-03 09_08_54.604-05_00.jpg,CV2
data/fvsu2025/sap1/250439_LeafPhotoA_2025-10-02 13_54_30.190-05_00.jpg,CV2
data/fvsu2025/sap1/250396_LeafPhotoA_2025-10-02 10_10_57.624-05_00.jpg,CV2
data/fvsu2025/sap1/250431_LeafPhotoA_2025-10-02 14_06_46.663-05_00.jpg,CV2
data/fvsu2025/sap1/250508_LeafPhotoA_2025-10-03 09_09_34.791-05_00.jpg,CV2
