cluster025,n_embeddings,cluster_type,severity_related,severity_class,median_max_abs_severity_r,max_abs_severity_r,fraction_embeddings_r_ge_0_4,example_embeddings,has_validated,has_validated_or_proposed,candidate_genes
68,2,multi_trait,False,not_severity_correlated,0.1287724571362047,0.1977847612836919,0.0,embedding_std_158;embedding_std_761,True,True,Sobic.009G217900;Sobic.009G221000;Sobic.009G221266
69,4,multi_trait,True,severity_correlated,0.4542671541885136,0.5278558471962513,1.0,embedding_mean_139;embedding_mean_376;embedding_mean_646;embedding_mean_756,True,True,Sobic.009G217900;Sobic.009G221000;Sobic.009G221266
70,2,multi_trait,False,not_severity_correlated,0.2698815918733768,0.3647851099256547,0.0,embedding_mean_125;embedding_std_977,True,True,Sobic.009G217900;Sobic.009G221000;Sobic.009G221266
71,2,multi_trait,True,severity_correlated,0.4380844510619788,0.6199060465008739,0.5,embedding_mean_68;embedding_mean_903,True,True,Sobic.009G217900;Sobic.009G221000;Sobic.009G221266
72,140,multi_trait,True,severity_correlated,0.2801031083746585,0.6521161390806277,0.2785714285714286,embedding_mean_20;embedding_mean_74;embedding_mean_85;embedding_mean_129;embedding_mean_132;embedding_mean_141;embedding_mean_157;embedding_mean_165;embedding_mean_172;embedding_mean_178;embedding_mean_192;embedding_mean_204,True,True,Sobic.004G273600;Sobic.005G177500;Sobic.005G177600;Sobic.009G217900;Sobic.009G221000;Sobic.009G221266
73,4,multi_trait,True,severity_correlated,0.4148632416914942,0.5321092690018489,0.5,embedding_mean_80;embedding_mean_445;embedding_mean_690;embedding_std_1000,True,True,Sobic.002G260900
74,15,multi_trait,True,severity_correlated,0.2866563964780468,0.5432506884444963,0.3333333333333333,embedding_mean_28;embedding_mean_277;embedding_mean_302;embedding_mean_373;embedding_mean_598;embedding_mean_680;embedding_mean_720;embedding_mean_855;embedding_std_244;embedding_std_729;embedding_std_796;embedding_std_882,True,True,Sobic.002G260900;Sobic.009G217900;Sobic.009G221000;Sobic.009G221266
75,3,multi_trait,True,severity_correlated,0.1666569353862978,0.539400719823625,0.3333333333333333,embedding_mean_740;embedding_mean_1022;embedding_std_1022,True,True,Sobic.002G260900
76,2,multi_trait,True,severity_correlated,0.552951943250751,0.5672666506255185,1.0,embedding_mean_337;embedding_mean_616,False,False,
77,3,multi_trait,False,not_severity_correlated,0.1010616621959863,0.115109738387373,0.0,embedding_std_674;embedding_std_823;embedding_std_828,True,True,Sobic.002G260900
78,1,singleton,False,not_severity_correlated,0.3137574476839309,0.3137574476839309,0.0,embedding_std_861,True,True,Sobic.002G122700
79,1,singleton,False,not_severity_correlated,0.3055014140044548,0.3055014140044548,0.0,embedding_mean_285,False,False,
80,1,singleton,True,severity_correlated,0.5246520459239279,0.5246520459239279,1.0,embedding_mean_181,False,False,
81,1,singleton,True,severity_correlated,0.484231491514372,0.484231491514372,1.0,embedding_mean_163,False,True,Sobic.005G075600;Sobic.005G076100
82,2,multi_trait,True,severity_correlated,0.4105566267843393,0.6204592372125909,0.5,embedding_mean_26;embedding_std_968,False,False,
