trait,n_significant_loci,cluster_jaccard_similarity_ge_0_25,cluster_jaccard_similarity_ge_0_50,cluster025,human_score,percentUnhealthy,max_abs_severity_r,severity_r_ge_0_4,severity_r_ge_0_5,n_loci,has_validated_locus,has_proposed_locus,has_new_annotation_locus,candidate_loci,reported_candidate_genes,has_validated_or_proposed_locus,has_any_reported_candidate_locus
embedding_mean_276,1,90,141,90,0.1231433862363643,0.1831125188695617,0.1831125188695617,False,False,1,False,False,False,7:6254946-6264107,,False,False
embedding_mean_277,1,74,122,74,0.3424599703098876,0.3255497161613634,0.3424599703098876,False,False,1,False,False,False,2:65274344-65906142,,False,False
embedding_mean_285,3,79,128,79,0.2514498404671302,0.3055014140044548,0.3055014140044548,False,False,3,False,False,False,10:14471979-14471979;10:15260365-15260365;10:15543614-15543614,,False,False
embedding_mean_289,1,21,31,21,0.0531054448208592,0.0517651512042682,0.0531054448208592,False,False,1,False,False,False,4:60556616-60799936,,False,False
embedding_mean_294,1,72,111,72,0.07635164876114,0.1320927833817918,0.1320927833817918,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_296,1,72,111,72,0.1134503147453637,0.0542018860739203,0.1134503147453637,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_297,1,31,44,31,0.3242338661019818,0.3099216998962728,0.3242338661019818,False,False,1,False,False,False,4:64445411-65094100,,False,False
embedding_mean_300,19,46,70,46,0.4716119310416972,0.5453911182090958,0.5453911182090958,True,True,19,True,False,False,4:21598020-21986255;4:22304896-22767044;4:23733502-23892771;4:24367113-24474322;4:25393597-25393597;4:25773688-26708687;4:26915110-28559506;4:28956550-28956550;4:35047157-36569798;4:37381806-37802564;4:38208724-38858192;4:39427905-40735252;4:42566071-42566071;4:43533347-43533347;4:43861507-43902342;4:44317885-44561320;4:45208964-45208964;4:45704907-45993941;5:60007887-60022551,Sobic.005G126200,True,True
embedding_mean_302,2,74,122,74,0.1148693476228167,0.1960301903522919,0.1960301903522919,False,False,2,True,True,True,2:65274344-65906142;9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_308,3,23,33,23,0.2410470402037859,0.3296540237250956,0.3296540237250956,False,False,3,False,False,False,10:15543614-15543614;3:65689569-65844319;6:57881583-58658248,,False,False
embedding_mean_314,1,72,111,72,0.341858501383998,0.4767622086715105,0.4767622086715105,True,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_315,1,72,111,72,0.2909453876884418,0.394837131065378,0.394837131065378,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_320,1,125,178,125,0.1833695312923334,0.1350425735983048,0.1833695312923334,False,False,1,False,False,False,7:66827163-66827179,,False,False
embedding_mean_323,1,126,179,126,0.3771276368080883,0.2891272451220716,0.3771276368080883,False,False,1,False,False,False,1:30233553-30233553,,False,False
embedding_mean_324,1,72,111,72,0.3147227030036311,0.358810254062436,0.358810254062436,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_326,1,72,111,72,0.235697553219981,0.2533244873688781,0.2533244873688781,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_327,1,127,180,127,0.2767118261531758,0.3684996138707444,0.3684996138707444,False,False,1,False,False,False,6:5591564-5591564,,False,False
embedding_mean_329,1,128,181,128,0.1368155654912491,0.1287263399915587,0.1368155654912491,False,False,1,False,False,False,6:6480952-6480952,,False,False
embedding_mean_332,2,33,46,33,0.315485410039745,0.2779871304670686,0.315485410039745,False,False,2,False,False,False,3:64185955-64267169;4:65405896-65526687,,False,False
embedding_mean_335,1,72,111,72,0.169894128572756,0.2119290683633683,0.2119290683633683,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_337,1,76,124,76,0.5386372358759837,0.5321224182866596,0.5386372358759837,True,True,1,False,False,False,4:35047157-36569798,,False,False
embedding_mean_339,1,10,15,10,0.2169412980490788,0.2137938127240321,0.2169412980490788,False,False,1,False,True,False,7:62853152-63323476,Sobic.007G163100,True,True
embedding_mean_340,1,26,38,26,0.281924915603524,0.3025548688556586,0.3025548688556586,False,False,1,False,False,False,3:7642773-7864559,,False,False
embedding_mean_349,2,129,182,129,0.173226587450244,0.2765613930643032,0.2765613930643032,False,False,2,False,False,False,3:11535446-11535446;7:4972230-4972230,,False,False
embedding_mean_351,1,72,111,72,0.2098774280639256,0.3128539363246052,0.3128539363246052,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_353,1,72,111,72,0.1764888718564251,0.3121648867582916,0.3121648867582916,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_357,1,55,80,55,0.1969415690814447,0.2019533583712842,0.2019533583712842,False,False,1,False,False,False,6:43533465-44716389,,False,False
embedding_mean_359,1,52,76,52,0.1104809377013587,0.2081344382879049,0.2081344382879049,False,False,1,False,False,False,2:63491317-63517587,,False,False
embedding_mean_365,1,72,111,72,0.4959735006846037,0.5698980690427367,0.5698980690427367,True,True,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_373,1,74,122,74,0.2530067422788045,0.2706735117764521,0.2706735117764521,False,False,1,False,False,False,2:65274344-65906142,,False,False
embedding_mean_375,1,72,111,72,0.2602038966106194,0.2961440584263625,0.2961440584263625,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
